"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAETHG_RS04025",1.94523441187375,0.217572049925031,0.849211527998756,0.256204776727135,0.797792720407617,0.857202816608184
"CAETHG_RS04030",38521.2911187278,0.175005582870609,1.08147156654473,0.16182171430521,0.871446252870448,0.904739222060305
"CAETHG_RS04035",1102.15298233048,0.851025655703478,0.43555915133207,1.9538693036314,0.0507166756292167,0.151144120006601
"CAETHG_RS04130",166.367020807237,-0.540279366457029,0.177726287055157,-3.03995191375012,0.0023661592364686,0.0149363801802081
"CAETHG_RS04135",226.901093627261,-0.783792078461463,0.191732647373822,-4.08794271188098,4.35215588632179e-05,0.000637135304292856
"CAETHG_RS04140",115.917539115809,-0.0321719358902488,0.340962833231805,-0.0943561372519937,0.924826257697733,0.934074520274711
"CAETHG_RS05495",1.18716242844008,-2.80835024208731,1.46059887514899,-1.92273887777768,0.0545128516713523,0.151849905806443
"CAETHG_RS05825",573.98424007994,-1.12220001902473,0.320616312262572,-3.50013388621876,0.000465024532442279,0.00391395648138918
"CAETHG_RS06225",20448.7428092264,-0.327101967903386,0.455104375849034,-0.718740546700195,0.472300795622206,0.657449576114532
"CAETHG_RS06250",62.7661449053156,0.172991734731492,0.219767538082238,0.78715781339261,0.431189489410088,0.613382231414351
"CAETHG_RS06290",9129.28603743269,0.583182149044718,0.369350690403238,1.57893883563079,0.114350087097857,0.23098717593767
"CAETHG_RS06710",179.698073063534,-0.284654017866487,0.248062974692439,-1.14750707242552,0.251172111825837,0.429972598210331
"CAETHG_RS06715",55.8362111841555,-0.775600478356437,0.280718681346775,-2.76291009431726,0.00572885441121053,0.0289307147766132
"CAETHG_RS06720",14.2264203323222,-0.43245844502129,0.44116691188517,-0.980260380755512,0.326957606170758,0.500344215503736
"CAETHG_RS06725",2.5822520140942,-2.69077995778631,1.21998714922505,-2.20558057475894,0.0274133804252579,0.0893145620306791
"CAETHG_RS07690",6.15801027646232,-1.30068152532187,0.687133883996365,-1.89290843548148,0.0583700472671618,0.152920151106646
"CAETHG_RS07695",13.3294148260248,-1.67051526547293,0.686791535403402,-2.43234690493341,0.0150013318111952,0.0551169510700533
"CAETHG_RS07700",3.05963960479279,2.41938583872443,0.997407252159439,2.42567500234867,0.0152799468313019,0.0551169510700533
"CAETHG_RS07705",14.7925022239573,0.306813148565028,0.433519590285713,0.707726145346331,0.479115337848997,0.657449576114532
"CAETHG_RS07710",39.3768263213561,-0.235975983356751,0.24066520406013,-0.980515585035685,0.326831680392504,0.500344215503736
"CAETHG_RS07715",46.0448752575772,0.209571845950396,0.306752200191107,0.68319590151214,0.49448306210573,0.66590385696905
"CAETHG_RS07720",64.7958477344199,0.156803678927612,0.222866148993639,0.703577818505255,0.48169572903441,0.657449576114532
"CAETHG_RS07725",28.9967397015809,1.1682068875313,0.311982372252385,3.74446440386143,0.000180779003544542,0.00165987994163625
"CAETHG_RS07730",284.566013020963,0.724391616614965,0.128308403508494,5.64570672541343,1.64504067024819e-08,4.15372769237668e-07
"CAETHG_RS07735",29.6916457887287,0.49725902303694,0.30431095898601,1.63404901582858,0.102248558936202,0.210757233725641
"CAETHG_RS07740",34.6240294541253,0.520488488105029,0.287544669207039,1.81011350180957,0.0702781875938879,0.161320385158697
"CAETHG_RS07745",148.729038517908,0.657709951723625,0.166155570198117,3.95839845115874,7.54540086068009e-05,0.000846761652142988
"CAETHG_RS07750",189.589401811046,0.263056323847391,0.235028200549542,1.11925429898333,0.263031666550811,0.435511447895604
"CAETHG_RS07755",197.963186009162,0.175835011377891,0.164041419209828,1.07189399009635,0.283767649908598,0.454929089536007
"CAETHG_RS07760",24.9094715404784,1.47807050099543,0.434297300497276,3.40336101399437,0.000665622682156748,0.00517137622291012
"CAETHG_RS08395",60.0964258672793,-0.332842851551759,0.402365077669215,-0.827216053340967,0.408114614255071,0.588851086282317
"CAETHG_RS08555",357115.119012788,1.12692175467623,0.158855627016979,7.09399960100736,1.30290505941206e-12,6.57967055003089e-11
"CAETHG_RS08880",59.3618757726764,-0.621351823684968,0.230014208643326,-2.70136278688972,0.00690559677894703,0.0317029670306204
"CAETHG_RS09855",826.081975829978,0.196932530126102,0.349098031731062,0.564118133664573,0.572673737779026,0.722544746589825
"CAETHG_RS09860",141.861867592471,0.0459733609359908,0.299159123286531,0.153675276324293,0.87786577982089,0.904739222060305
"CAETHG_RS09945",34.3138883512448,0.130800139256318,0.308533018609908,0.423942111109002,0.671608031785196,0.798028367180056
"CAETHG_RS09950",1082.84431894961,0.57928407009417,0.231620856751044,2.50100132699539,0.0123842714369607,0.0500324566053214
"CAETHG_RS09955",38.8125751708207,0.538984455256329,0.29164768124624,1.84806699972101,0.0645926510049121,0.154522005166301
"CAETHG_RS09960",3.86491812681654,0.0127354795476364,0.799985546517884,0.0159196370522822,0.987298503884946,0.987298503884946
"CAETHG_RS09965",62503.9553759464,0.404091800807984,0.702076169734867,0.575566894629946,0.564907963035487,0.722224104640306
"CAETHG_RS09970",1839.95340031282,0.753163884592663,0.393515468205721,1.91393717768402,0.0556281833152318,0.151849905806443
"CAETHG_RS09985",157.726680604048,-0.0194569702085694,0.158771027153629,-0.122547359914366,0.902465540822266,0.920697167909584
"CAETHG_RS10035",4.95179524855129,-1.91155678043995,0.754921074252447,-2.5321279874626,0.0113372600725541,0.0477109694719985
"CAETHG_RS10040",80.9318421513438,-0.409333677016328,0.222479073189073,-1.83987496508697,0.0657865962589204,0.154522005166301
