"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAETHG_RS04025",1.94523441187375,1.4745974388824,1.54513114386428,0.954350991330428,0.339906004920444,0.975208745245027
"CAETHG_RS04030",38521.2911187278,0.420976690219126,1.14706922852048,0.367001990596605,0.713617533177452,0.975208745245027
"CAETHG_RS04035",1102.15298233048,-0.244810501826684,0.461538127626617,-0.530423137706047,0.595818587324044,0.975208745245027
"CAETHG_RS04130",166.367020807237,0.190023578745334,0.188508080937999,1.00803943151823,0.313435532719306,0.975208745245027
"CAETHG_RS04135",226.901093627261,-0.0807287377978335,0.203882644493533,-0.395956889799878,0.692136831482793,0.975208745245027
"CAETHG_RS04140",115.917539115809,0.614993748685865,0.36785321307418,1.67184552649768,0.0945547867647666,0.745771466085693
"CAETHG_RS05495",1.18716242844008,-0.827936851846003,1.83882549563214,-0.450253084815631,0.652527963169345,0.975208745245027
"CAETHG_RS05825",573.98424007994,-0.082396938801945,0.342990730907387,-0.240230803275537,0.810151335192674,0.975208745245027
"CAETHG_RS06225",20448.7428092264,-0.0411721648264964,0.482734519626782,-0.085289456528462,0.932031273461924,0.990896406522677
"CAETHG_RS06250",62.7661449053156,-0.0631841340847121,0.24189388743055,-0.261205997207568,0.793933653520969,0.975208745245027
"CAETHG_RS06290",9129.28603743269,-0.143696847343876,0.391798014392726,-0.366762571695524,0.713796128429367,0.975208745245027
"CAETHG_RS06710",179.698073063534,0.0511651526585458,0.266976261390874,0.19164682429812,0.848018861797568,0.975208745245027
"CAETHG_RS06715",55.8362111841555,-0.120794115778838,0.316406802887049,-0.38176839017573,0.702633167044894,0.975208745245027
"CAETHG_RS06720",14.2264203323222,-0.0213730000459696,0.564254856007566,-0.0378782740075931,0.969784735446027,0.992439035634638
"CAETHG_RS06725",2.5822520140942,0.49115869223426,1.06594368699667,0.460773583281978,0.644961056280639,0.975208745245027
"CAETHG_RS07690",6.15801027646232,0.0189502319371142,0.663162783630213,0.0285755359089648,0.977203123631437,0.992439035634638
"CAETHG_RS07695",13.3294148260248,0.155173946993425,0.684932571175845,0.226553610564954,0.820770867716239,0.975208745245027
"CAETHG_RS07700",3.05963960479279,-0.545132806940221,1.0931343849391,-0.498687823245623,0.617999324223021,0.975208745245027
"CAETHG_RS07705",14.7925022239573,-0.23110726785698,0.481868039930861,-0.479606964367546,0.631506893293674,0.975208745245027
"CAETHG_RS07710",39.3768263213561,-0.152792434490465,0.28087577439335,-0.543985805897551,0.586451240450456,0.975208745245027
"CAETHG_RS07715",46.0448752575772,-0.00599254917518845,0.337299070529422,-0.0177662783528653,0.985825306488149,0.992439035634638
"CAETHG_RS07720",64.7958477344199,-0.182982774735732,0.251342885461104,-0.728020506329586,0.466601033504661,0.975208745245027
"CAETHG_RS07725",28.9967397015809,0.292710268998199,0.341963606117277,0.855969067356873,0.392014889493912,0.975208745245027
"CAETHG_RS07730",284.566013020963,0.245873990595845,0.138382756218753,1.77676754903747,0.075606493136242,0.745771466085693
"CAETHG_RS07735",29.6916457887287,-0.141483851698848,0.362040606225935,-0.390795533058392,0.695948377046345,0.975208745245027
"CAETHG_RS07740",34.6240294541253,-0.0294154831126055,0.308806182531327,-0.0952554863749253,0.924111898547124,0.990896406522677
"CAETHG_RS07745",148.729038517908,-0.101679251875432,0.182889040584136,-0.555961426396435,0.578237224576424,0.975208745245027
"CAETHG_RS07750",189.589401811046,0.212093121921042,0.254221116272413,0.834286014595936,0.40411983084898,0.975208745245027
"CAETHG_RS07755",197.963186009162,-0.246411611618401,0.182383904926193,-1.35106007143623,0.176676190565916,0.975208745245027
"CAETHG_RS07760",24.9094715404784,-0.345002140322029,0.481759060369231,-0.716130050688848,0.473911049817154,0.975208745245027
"CAETHG_RS08395",60.0964258672793,0.0918426207804943,0.429597117930903,0.213787795464834,0.830712542740701,0.975208745245027
"CAETHG_RS08555",357115.119012788,-0.0445460151301377,0.168489066965521,-0.264385196810743,0.791483117069445,0.975208745245027
"CAETHG_RS08880",59.3618757726764,-0.0849444243885565,0.244964961791463,-0.3467615277195,0.728770482234727,0.975208745245027
"CAETHG_RS09855",826.081975829978,-0.167287846291639,0.369861244915876,-0.452298932616441,0.651053644791068,0.975208745245027
"CAETHG_RS09860",141.861867592471,-0.285555867081831,0.313300485529713,-0.911444061757605,0.362061446577736,0.975208745245027
"CAETHG_RS09945",34.3138883512448,0.00393457239655018,0.350164534364155,0.0112363532294747,0.991034875888443,0.992439035634638
"CAETHG_RS09950",1082.84431894961,0.199963372905333,0.246140176291618,0.812396317894986,0.416564258371846,0.975208745245027
"CAETHG_RS09955",38.8125751708207,0.307388990044161,0.320542413178316,0.958965108536705,0.337576322817844,0.975208745245027
"CAETHG_RS09960",3.86491812681654,-0.913040321220755,0.8528613552585,-1.07056125311718,0.284366753387162,0.975208745245027
"CAETHG_RS09965",62503.9553759464,-0.591838797183303,0.744674823008637,-0.794761389665565,0.426752314472092,0.975208745245027
"CAETHG_RS09970",1839.95340031282,-0.722265900865772,0.417271304761553,-1.73092636043714,0.0834648993859128,0.745771466085693
"CAETHG_RS09985",157.726680604048,-0.198452036675876,0.171903441340225,-1.15443899859519,0.248320234311239,0.975208745245027
"CAETHG_RS10035",4.95179524855129,-1.61862799033095,0.897574606833249,-1.80333531943564,0.0713355689294972,0.745771466085693
"CAETHG_RS10040",80.9318421513438,0.0580336337505139,0.250940012572555,0.231264967095411,0.817108961203293,0.975208745245027
"CAETHG_RS10045",234.999211087913,-0.00167953004489479,0.177232819894432,-0.00947640536270423,0.992439035634638,0.992439035634638
