"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAETHG_RS04025",1.94523441187375,1.6856944067574,1.25526635367914,1.34289778565058,0.179305073566897,0.68816627746346
"CAETHG_RS04030",38521.2911187278,0.0393826451401271,1.20911486282491,0.0325714672368808,0.974016323599328,0.974016323599328
"CAETHG_RS04035",1102.15298233048,-0.89889135703923,0.486898398222271,-1.84615796708553,0.0648692720965651,0.503984344750236
"CAETHG_RS04130",166.367020807237,-0.438836809096116,0.198165728589903,-2.21449396027641,0.0267948177257294,0.306068786816266
"CAETHG_RS04135",226.901093627261,-0.277880003752058,0.214957683573251,-1.29271956755789,0.196108067569185,0.68816627746346
"CAETHG_RS04140",115.917539115809,-0.276095238762749,0.383761294074337,-0.719445246370439,0.471866626972317,0.860199196925522
"CAETHG_RS05495",1.18716242844008,0.92638257361144,1.84905530731621,0.50100317169854,0.616368890748174,0.879086895966526
"CAETHG_RS05825",573.98424007994,0.79832312683843,0.360017938201828,2.21745374918204,0.0265921002546719,0.306068786816266
"CAETHG_RS06225",20448.7428092264,0.677296993138704,0.508824254156519,1.33110202119092,0.183155444020157,0.68816627746346
"CAETHG_RS06250",62.7661449053156,-0.0206623142139022,0.250668265341629,-0.0824289192959554,0.934305640020484,0.947903829526395
"CAETHG_RS06290",9129.28603743269,0.473386134542921,0.41294854108789,1.14635623435262,0.251647783697358,0.794263317294786
"CAETHG_RS06710",179.698073063534,0.352548676789471,0.277794506036131,1.26909880911618,0.204405824989147,0.68816627746346
"CAETHG_RS06715",55.8362111841555,0.434339702487532,0.323723556118725,1.34169940456307,0.179693480181751,0.68816627746346
"CAETHG_RS06720",14.2264203323222,0.711689496716891,0.55598946836868,1.28004132669104,0.200530601908459,0.68816627746346
"CAETHG_RS06725",2.5822520140942,0.475870001506926,1.00650377831766,0.472795047329407,0.636359407857341,0.880442468405362
"CAETHG_RS07690",6.15801027646232,0.413744567790347,0.657748082101226,0.629031963831212,0.529328130408414,0.860199196925522
"CAETHG_RS07695",13.3294148260248,-0.425353033014395,0.720681136925021,-0.590209749112177,0.555050036866721,0.864544773391117
"CAETHG_RS07700",3.05963960479279,0.375721767687479,1.13071312781251,0.332287437410719,0.739672225000063,0.902345044035632
"CAETHG_RS07705",14.7925022239573,0.28439069308514,0.49396792052687,0.575727048796624,0.564799689493445,0.864544773391117
"CAETHG_RS07710",39.3768263213561,0.666689575076864,0.277296538349281,2.40424773798332,0.016205786705743,0.306068786816266
"CAETHG_RS07715",46.0448752575772,0.122646276942952,0.348382149233889,0.352045238863869,0.724804335676496,0.902345044035632
"CAETHG_RS07720",64.7958477344199,0.163397854975646,0.259597908864598,0.629426699507322,0.529069742950301,0.860199196925522
"CAETHG_RS07725",28.9967397015809,-0.341955726602748,0.353513683708347,-0.967305488759708,0.333391340656291,0.832190291894085
"CAETHG_RS07730",284.566013020963,-0.402568767352382,0.144869771188766,-2.77883207827969,0.00545547189698529,0.137750665398879
"CAETHG_RS07735",29.6916457887287,0.341360843754456,0.367845305029788,0.928001089280756,0.35340700458335,0.832190291894085
"CAETHG_RS07740",34.6240294541253,0.103248461859333,0.316496732113057,0.326222837025853,0.744255764241414,0.902345044035632
"CAETHG_RS07745",148.729038517908,0.0728640465532713,0.189837257638469,0.383823741765358,0.701109090006332,0.902345044035632
"CAETHG_RS07750",189.589401811046,-0.020462273014022,0.26528948505081,-0.0771318660070636,0.93851864309544,0.947903829526395
"CAETHG_RS07755",197.963186009162,0.416314032640288,0.188583761315642,2.20758155281188,0.0272734562509544,0.306068786816266
"CAETHG_RS07760",24.9094715404784,0.461692818894581,0.49736727220215,0.928273420264231,0.353265757963056,0.832190291894085
"CAETHG_RS08395",60.0964258672793,0.245661853690969,0.446940643706724,0.549652078301854,0.5825580316224,0.878184495430782
"CAETHG_RS08555",357115.119012788,-0.795988495021145,0.177605235485114,-4.48178508278188,7.40212677250286e-06,0.000373807402011394
