"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAETHG_RS04025",1.94523441187375,-0.424008999704423,0.807911588629877,-0.524821039420281,0.599707604186173,0.73866424418053
"CAETHG_RS04030",38521.2911187278,-0.829368166069319,1.08146645138084,-0.766892181454506,0.443145622629824,0.651327623938365
"CAETHG_RS04035",1102.15298233048,-0.168378068732996,0.435847779240916,-0.386323108095784,0.699257388617136,0.797085524535983
"CAETHG_RS04130",166.367020807237,0.429790195637632,0.174318151702804,2.46555044003899,0.0136802912466936,0.153523268435117
"CAETHG_RS04135",226.901093627261,0.591571781484889,0.188698277785085,3.13501420589886,0.00171845789564166,0.0289273745766346
"CAETHG_RS04140",115.917539115809,0.254819353728788,0.340942421141969,0.747397032247507,0.454823936281259,0.651327623938365
"CAETHG_RS05495",1.18716242844008,1.48695163070966,1.18493982409405,1.25487522697325,0.209524058321898,0.503855473583613
"CAETHG_RS05825",573.98424007994,0.579987144038875,0.319505505918633,1.8152649431543,0.0694832036695661,0.340599029773544
"CAETHG_RS06225",20448.7428092264,-0.355156645732086,0.455081350417088,-0.780424522794838,0.435141038157681,0.651327623938365
"CAETHG_RS06250",62.7661449053156,-0.116350956103699,0.216733791862489,-0.536838095729529,0.591379454453375,0.737399072836924
"CAETHG_RS06290",9129.28603743269,-0.770875265586113,0.369324506219952,-2.08725728350941,0.0368648838683837,0.24822355138045
"CAETHG_RS06710",179.698073063534,-0.157382324812571,0.244407256730452,-0.643934746119843,0.519617749227606,0.709208009080922
"CAETHG_RS06715",55.8362111841555,0.368861432325424,0.26990469234718,1.36663586363647,0.171739470130513,0.481824624532827
"CAETHG_RS06720",14.2264203323222,0.421735625806805,0.432490371653712,0.975132982022733,0.329494300173648,0.605071351227972
"CAETHG_RS06725",2.5822520140942,0.365112168303555,0.784755096623509,0.4652561925045,0.641748002273204,0.771625574161829
"CAETHG_RS07690",6.15801027646232,-0.21362846807043,0.53787406724346,-0.397171905247729,0.691240698334624,0.797085524535983
"CAETHG_RS07695",13.3294148260248,0.666299255886053,0.630991170722222,1.0559565439298,0.290988069034139,0.556272460325273
"CAETHG_RS07700",3.05963960479279,-1.35634841937196,1.04831302612657,-1.29383913541889,0.195720991593472,0.503855473583613
"CAETHG_RS07705",14.7925022239573,-0.41340217902061,0.421435184518286,-0.980938930130244,0.326622858156835,0.605071351227972
"CAETHG_RS07710",39.3768263213561,-0.319017768134629,0.220895631893288,-1.44420134250886,0.148682347386141,0.481824624532827
"CAETHG_RS07715",46.0448752575772,-0.205430058918542,0.303075886044291,-0.677817234488001,0.497887582185909,0.688858161654477
"CAETHG_RS07720",64.7958477344199,-0.0631591604860395,0.220657301833458,-0.286231907855508,0.774700506677235,0.826270184932756
"CAETHG_RS07725",28.9967397015809,-0.478205323832144,0.322868694533722,-1.481113938664,0.138576214155209,0.481824624532827
"CAETHG_RS07730",284.566013020963,-0.212580136204428,0.130120591754841,-1.63371633449798,0.102318426913565,0.382746708084077
"CAETHG_RS07735",29.6916457887287,-0.164971721235171,0.306760784700743,-0.537786214740935,0.590724650110092,0.737399072836924
"CAETHG_RS07740",34.6240294541253,-0.620218027826736,0.279964507747001,-2.21534519792494,0.0267363797620356,0.207721104305046
"CAETHG_RS07745",148.729038517908,-0.373282280500323,0.166671053220017,-2.23963473733838,0.0251146456209329,0.207721104305046
"CAETHG_RS07750",189.589401811046,-0.0609686362969942,0.234904749395152,-0.259546205234165,0.795213836423844,0.828006159575343
"CAETHG_RS07755",197.963186009162,-0.209825993379187,0.162212445980641,-1.29352585808507,0.19582924667385,0.503855473583613
"CAETHG_RS07760",24.9094715404784,-0.959292809021537,0.439448839199201,-2.18294537031805,0.0290398333087415,0.209501654584492
"CAETHG_RS08395",60.0964258672793,-0.227160819305128,0.394085589041074,-0.576425085367563,0.564327892727826,0.730732271352698
"CAETHG_RS08555",357115.119012788,-0.356552089718616,0.158858217658476,-2.24446739346626,0.0248023445809493,0.207721104305046
"CAETHG_RS08880",59.3618757726764,0.000258362866083707,0.212070942253167,0.00121828508582414,0.99902794937982,0.99902794937982
"CAETHG_RS09855",826.081975829978,-0.18878517583838,0.348884504544068,-0.541110807099585,0.588431209727695,0.737399072836924
"CAETHG_RS09860",141.861867592471,-0.407493683448772,0.295201194938303,-1.38039306898449,0.167465653057726,0.481824624532827
"CAETHG_RS09945",34.3138883512448,0.235106404065913,0.31168170781502,0.754315695053386,0.450659680179185,0.651327623938365
"CAETHG_RS09950",1082.84431894961,0.0626362273362777,0.232031046837704,0.26994761343334,0.787200556201225,0.828006159575343
"CAETHG_RS09955",38.8125751708207,-0.249135133795964,0.292894108238179,-0.850597969670901,0.394992717677787,0.651327623938365
"CAETHG_RS09960",3.86491812681654,-1.12176663906495,0.679508292228177,-1.65085055163428,0.0987690949045921,0.382746708084077
"CAETHG_RS09965",62503.9553759464,0.739959757869077,0.702081744018913,1.05395100239089,0.291905350467718,0.556272460325273
"CAETHG_RS09970",1839.95340031282,-0.300058895562407,0.393605712459677,-0.762333690960206,0.445860870792157,0.651327623938365
"CAETHG_RS09985",157.726680604048,0.127080822564934,0.15749299035666,0.806898277041701,0.419725091562033,0.651327623938365
"CAETHG_RS10035",4.95179524855129,0.840588622372996,0.603701627272064,1.39239085071105,0.163804073523098,0.481824624532827
"CAETHG_RS10040",80.9318421513438,0.525576940276879,0.220865305338097,2.37962653062388,0.0173301921783174,0.175034941001005
