"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAETHG_RS04025",1.94523441187375,-0.206436949779392,0.852135417044498,-0.242258384817975,0.808579957519581,0.928029269425883
"CAETHG_RS04030",38521.2911187278,-0.65436258319871,1.08146960590269,-0.605067936840002,0.545133857363462,0.781140949160074
"CAETHG_RS04035",1102.15298233048,0.682647586970482,0.43573358701139,1.56666276669794,0.117193538147826,0.412608066228451
"CAETHG_RS04130",166.367020807237,-0.110489170819397,0.183426715614705,-0.602361386939315,0.546933606850448,0.781140949160074
"CAETHG_RS04135",226.901093627261,-0.192220296976574,0.196231411117987,-0.979559265672299,0.327303720467997,0.615265348958617
"CAETHG_RS04140",115.917539115809,0.222647417838539,0.344249107525237,0.646762512876569,0.517785657573805,0.781140949160074
"CAETHG_RS05495",1.18716242844008,-1.32139861137765,1.61802725592576,-0.816672652786439,0.414115523564562,0.692515488514513
"CAETHG_RS05825",573.98424007994,-0.54221287498585,0.321408449221906,-1.6869901096206,0.0916052537466796,0.38550544285061
"CAETHG_RS06225",20448.7428092264,-0.682258613635472,0.45510564454224,-1.49912140580394,0.133842139357329,0.412608066228451
"CAETHG_RS06250",62.7661449053156,0.0566407786277929,0.224623302558664,0.252158961170114,0.80091819752579,0.928029269425883
"CAETHG_RS06290",9129.28603743269,-0.187693116541395,0.369329416173562,-0.508199748847491,0.61131326699068,0.798251713917139
"CAETHG_RS06710",179.698073063534,-0.442036342679058,0.249125502499744,-1.77435203639785,0.0760049382268808,0.36554756004357
"CAETHG_RS06715",55.8362111841555,-0.406739046031012,0.288845490983922,-1.40815438955096,0.159085358629706,0.434260033016226
"CAETHG_RS06720",14.2264203323222,-0.0107228192144851,0.462241781514118,-0.0231974253373666,0.98149279233926,0.990675402498686
"CAETHG_RS06725",2.5822520140942,-2.32566778948276,1.25133652547009,-1.85854703522625,0.0630913705123316,0.356783240135211
"CAETHG_RS07690",6.15801027646232,-1.5143099933923,0.695801851533367,-2.17635234809329,0.0295289240299064,0.226765337320724
"CAETHG_RS07695",13.3294148260248,-1.00421600958688,0.707765723055367,-1.41885369250684,0.155941675242856,0.434260033016226
"CAETHG_RS07700",3.05963960479279,1.06303741935246,0.890974079118847,1.19311823347744,0.232823071523511,0.524978794135442
"CAETHG_RS07705",14.7925022239573,-0.106589030455581,0.434703277943499,-0.245199509329293,0.806301956292744,0.928029269425883
"CAETHG_RS07710",39.3768263213561,-0.554993751491381,0.243012078882669,-2.28381138107684,0.0223826185157241,0.226765337320724
"CAETHG_RS07715",46.0448752575772,0.00414178703185446,0.310020971821091,0.0133596995310518,0.989340819086045,0.990675402498686
"CAETHG_RS07720",64.7958477344199,0.0936445184415719,0.228064960645921,0.410604584660239,0.68136250140105,0.839239178554952
"CAETHG_RS07725",28.9967397015809,0.690001563699159,0.3113206748844,2.21636922750271,0.0266662254050378,0.226765337320724
"CAETHG_RS07730",284.566013020963,0.511811480410536,0.129789611150346,3.9433932798956,8.03367499005928e-05,0.00405700586997993
"CAETHG_RS07735",29.6916457887287,0.332287301801769,0.31051318465431,1.07012300354234,0.284563946016786,0.563548206817556
"CAETHG_RS07740",34.6240294541253,-0.0997295397217079,0.283928348198487,-0.351248969518145,0.725401575223332,0.872209036875673
"CAETHG_RS07745",148.729038517908,0.284427671223302,0.166777747573738,1.70542938348263,0.0881143720948749,0.38550544285061
"CAETHG_RS07750",189.589401811046,0.202087687550397,0.236687094252016,0.853817941316317,0.393205871984003,0.692515488514513
"CAETHG_RS07755",197.963186009162,-0.0339909820012956,0.165374565490283,-0.205539357884468,0.837150751301522,0.935256751180732
"CAETHG_RS07760",24.9094715404784,0.518777691973891,0.422052909903749,1.22917691076268,0.219005483806706,0.524978794135442
"CAETHG_RS08395",60.0964258672793,-0.560003670856887,0.403859228213188,-1.38663086475586,0.165554351743684,0.440026040160845
"CAETHG_RS08555",357115.119012788,0.770369664957609,0.158856017142556,4.84948369482463,1.23783243558922e-06,0.000125021075994511
"CAETHG_RS08880",59.3618757726764,-0.621093460818885,0.235678604724647,-2.63534087680353,0.00840528252458307,0.12127621928327
"CAETHG_RS09855",826.081975829978,0.0081473542877227,0.349297771466862,0.0233249535303596,0.981391067087694,0.990675402498686
"CAETHG_RS09860",141.861867592471,-0.361520322512781,0.299289955382307,-1.20792668117105,0.227075465629727,0.524978794135442
"CAETHG_RS09945",34.3138883512448,0.365906543322231,0.321245371113979,1.13902510736071,0.254692682303333,0.524978794135442
"CAETHG_RS09950",1082.84431894961,0.641920297430448,0.232092245463529,2.7657981254325,0.00567836748544325,0.095585852671628
"CAETHG_RS09955",38.8125751708207,0.289849321460364,0.295389146561621,0.981245671461727,0.326471606897987,0.615265348958617
"CAETHG_RS09960",3.86491812681654,-1.10903115951732,0.757135424704442,-1.46477251404561,0.142982993247483,0.412608066228451
"CAETHG_RS09965",62503.9553759464,1.14405155867706,0.702082733274197,1.62951103118819,0.10320488156329,0.412608066228451
"CAETHG_RS09970",1839.95340031282,0.453104989030256,0.393567503946475,1.15127642523016,0.249618532582381,0.524978794135442
"CAETHG_RS09985",157.726680604048,0.107623852356365,0.1634981671547,0.658257240611955,0.510372849025704,0.781140949160074
"CAETHG_RS10035",4.95179524855129,-1.07096815806696,0.808204601500582,-1.32512009468705,0.185131322242557,0.479442655038416
"CAETHG_RS10040",80.9318421513438,0.116243263260551,0.232088630205781,0.500857207686061,0.61647162064888,0.798251713917139
"CAETHG_RS10045",234.999211087913,-0.138746149477043,0.168700973693799,-0.822438344243791,0.410827463739182,0.692515488514513
