"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CAETHG_RS04025",1.94523441187375,1.479257456978,1.28223738165834,1.15365335478276,0.248642314610742,0.760996175020757
"CAETHG_RS04030",38521.2911187278,-0.614979938058583,1.20911943797399,-0.508618022954828,0.611019993431913,0.935704846236169
"CAETHG_RS04035",1102.15298233048,-0.216243770068748,0.486640049555407,-0.444360817130254,0.656781737495459,0.935704846236169
"CAETHG_RS04130",166.367020807237,-0.549325979915513,0.201170253976321,-2.7306521170877,0.0063209154924237,0.319206232367397
"CAETHG_RS04135",226.901093627261,-0.470100300728632,0.217626224883618,-2.16012707558582,0.0307628335250136,0.472830572342413
"CAETHG_RS04140",115.917539115809,-0.0534478209242108,0.383779428762045,-0.139267029232435,0.889239142806363,0.997023967452497
"CAETHG_RS05495",1.18716242844008,-0.395016037766211,2.03673076690777,-0.193946123947417,0.846218067630902,0.993814242217688
"CAETHG_RS05825",573.98424007994,0.256110251852579,0.361004109676919,0.709438604679004,0.478052338338406,0.935704846236169
"CAETHG_RS06225",20448.7428092264,-0.00496162049676767,0.508844847706486,-0.009750753140434,0.992220147894318,0.998675253736052
"CAETHG_RS06250",62.7661449053156,0.0359784644138907,0.253295901090042,0.14204124211667,0.88704742942968,0.997023967452497
"CAETHG_RS06290",9129.28603743269,0.285693018001527,0.412971959330599,0.691797618571044,0.489064432379748,0.935704846236169
"CAETHG_RS06710",179.698073063534,-0.0894876658895869,0.281016227030779,-0.318443055175549,0.750148883372942,0.935704846236169
"CAETHG_RS06715",55.8362111841555,0.0276006564565198,0.332793293039688,0.082936336259722,0.933902161397405,0.998670520313141
"CAETHG_RS06720",14.2264203323222,0.700966677502406,0.562765147735729,1.24557585046396,0.212920152782362,0.672029232219331
"CAETHG_RS06725",2.5822520140942,-1.84979778797583,1.37316347838284,-1.34710674810134,0.177945855118652,0.664768653780798
"CAETHG_RS07690",6.15801027646232,-1.10056542560196,0.784523423379267,-1.40284584603142,0.160662812400534,0.624113232786689
"CAETHG_RS07695",13.3294148260248,-1.42956904260127,0.770009127667909,-1.85656116432145,0.0633736134759487,0.472830572342413
"CAETHG_RS07700",3.05963960479279,1.43875918703994,1.08368501111771,1.3276544127486,0.184292300058043,0.664768653780798
"CAETHG_RS07705",14.7925022239573,0.177801662629559,0.504317287945962,0.352559126723038,0.724418984412422,0.935704846236169
"CAETHG_RS07710",39.3768263213561,0.111695823585483,0.293288646961084,0.380839233781538,0.70332254480209,0.935704846236169
"CAETHG_RS07715",46.0448752575772,0.126788063974807,0.351585041668978,0.360618481869828,0.718384671219118,0.935704846236169
"CAETHG_RS07720",64.7958477344199,0.257042373417218,0.261478010168551,0.983036291470653,0.325589577486815,0.865382824372849
"CAETHG_RS07725",28.9967397015809,0.348045837096411,0.343599667135114,1.01293997167799,0.311088834362653,0.861824942655458
"CAETHG_RS07730",284.566013020963,0.109242713058154,0.143244296977415,0.762632198023064,0.445682776682021,0.935704846236169
"CAETHG_RS07735",29.6916457887287,0.673648145556225,0.365804796525726,1.84155088165677,0.0655408714137998,0.472830572342413
"CAETHG_RS07740",34.6240294541253,0.00351892213762486,0.323221275026273,0.0108870374864366,0.991313572473909,0.998675253736052
"CAETHG_RS07745",148.729038517908,0.357291717776573,0.189384840771605,1.88659090305681,0.0592153712695124,0.472830572342413
"CAETHG_RS07750",189.589401811046,0.181625414536375,0.265398803018553,0.684349034248201,0.493754790648194,0.935704846236169
"CAETHG_RS07755",197.963186009162,0.382323050638993,0.190159261192578,2.01054131279889,0.044373928307614,0.472830572342413
"CAETHG_RS07760",24.9094715404784,0.980470510868472,0.492821536058952,1.98950418991265,0.0466455798022751,0.472830572342413
"CAETHG_RS08395",60.0964258672793,-0.314341817165918,0.454257793807529,-0.691989926097131,0.488943655371356,0.935704846236169
"CAETHG_RS08555",357115.119012788,-0.0256188300635364,0.177602918301058,-0.144247799014819,0.885304797440574,0.997023967452497
"CAETHG_RS08880",59.3618757726764,-0.453300209416862,0.266560925527167,-1.70055010320957,0.0890275004914704,0.599451836642568
"CAETHG_RS09855",826.081975829978,-0.369968405890723,0.390201301146894,-0.948147545390798,0.343054346539038,0.875640679240362
"CAETHG_RS09860",141.861867592471,-0.475536676953037,0.333879220628616,-1.42427754580747,0.154366144810843,0.623639225035806
"CAETHG_RS09945",34.3138883512448,0.261024345849865,0.361053866054183,0.722951255729506,0.46970983180975,0.935704846236169
"CAETHG_RS09950",1082.84431894961,0.141021632657399,0.259081813192555,0.544313129970991,0.586226013164331,0.935704846236169
"CAETHG_RS09955",38.8125751708207,0.0749009138227868,0.328618252220782,0.227926821826272,0.819703130670609,0.978097476660896
"CAETHG_RS09960",3.86491812681654,-0.0164255719718316,0.955361658459911,-0.0171930407991361,0.986282614007818,0.998675253736052
"CAETHG_RS09965",62503.9553759464,1.01033380068608,0.784953505029602,1.28712566312827,0.198050491896889,0.668970898168031
"CAETHG_RS09970",1839.95340031282,0.140007587145448,0.439943120786032,0.318240200904383,0.750302740710714,0.935704846236169
"CAETHG_RS09985",157.726680604048,-0.0568112013827052,0.182219090925525,-0.311774145585681,0.755212174185013,0.935704846236169
"CAETHG_RS10035",4.95179524855129,0.0724001027800115,1.03600466275984,0.0698839545636245,0.944286024305983,0.998670520313141
"CAETHG_RS10040",80.9318421513438,0.0798681582227974,0.261092799179757,0.305899505745503,0.759681162290751,0.935704846236169
"CAETHG_RS10045",234.999211087913,-0.283657794907613,0.187975982891549,-1.50901083502389,0.131296013901152,0.613192403350564
"CAETHG_RS10050",15.5814392097068,0.0567756235467519,0.583881946773783,0.0972381897752849,0.922537240673899,0.998670520313141
"CAETHG_RS10055",43.5372049930255,0.0391675909677964,0.341898375574859,0.114559160750445,0.908794551521406,0.997698366344153
"CAETHG_RS10165",21.3021984555299,-0.353729555522094,0.447020784979445,-0.791304492784063,0.428766327315298,0.935704846236169
"CAETHG_RS10375",9.00941645327218,0.118964644636772,0.532295464681432,0.223493628126195,0.823151341744319,0.978097476660896
"CAETHG_RS10380",11.34494806611,0.312703106453031,0.56902172715512,0.549545107910765,0.582631417492939,0.935704846236169
