Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23426214_1	(1.0, 35.94587572156448)	(2.0, 6.384028907535397)	(3.0, 3.308248731492966)	(4.0, 2.090926462299403)	(5.0, 1.3995409664850156)	(6.0, 1.0314188814756404)	(7.0, 0.8154556519624215)	(8.0, 0.6434828934949871)	(9.0, 0.5353679101348918)	('>10', 4.628780934979532)	('>50', 0.8811535543828861)	('>100', 1.4051635009599188)	('>500', 0.6890460638157273)	('>1k', 2.9754480690950365)	('>5k', 5.067922966568748)	('>10k+', 32.198138783753)
SRR23426214_2	(1.0, 63.332895447376515)	(2.0, 9.33881094781657)	(3.0, 3.7545907396138016)	(4.0, 2.034259149714691)	(5.0, 1.2159087346758044)	(6.0, 0.7812372406649444)	(7.0, 0.6081517009586017)	(8.0, 0.4333245226238877)	(9.0, 0.36798289445832444)	('>10', 2.021864905052288)	('>50', 0.21593183713211633)	('>100', 0.3716253906775555)	('>500', 0.3404017528264048)	('>1k', 3.154132151962637)	('>5k', 3.13646348899183)	('>10k+', 8.89241909545407)
SRR23426215_1	(1.0, 34.28292722035105)	(2.0, 6.644951964042248)	(3.0, 3.2629113680624844)	(4.0, 2.0330709310817143)	(5.0, 1.3417463055921806)	(6.0, 0.9686789026426529)	(7.0, 0.7737467037733324)	(8.0, 0.5883822267608008)	(9.0, 0.4921492659948765)	('>10', 3.830911644657932)	('>50', 0.5452607294998391)	('>100', 0.8279759664852986)	('>500', 0.5538412782074996)	('>1k', 2.754026384177827)	('>5k', 3.052351680998789)	('>10k+', 38.04706742767146)
SRR23426215_2	(1.0, 73.30851271530331)	(2.0, 8.098420355859872)	(3.0, 2.8626117269595728)	(4.0, 1.3318314232680482)	(5.0, 0.7729923186423202)	(6.0, 0.5004974648420003)	(7.0, 0.3096812083329834)	(8.0, 0.217242372053022)	(9.0, 0.15149171472084172)	('>10', 0.6967555153057029)	('>50', 0.06811527663429016)	('>100', 0.2725660081972256)	('>500', 0.20112273299097969)	('>1k', 2.2125573124485225)	('>5k', 1.8634454492700026)	('>10k+', 7.132156405171333)
SRR23426216_1	(1.0, 33.46476917370492)	(2.0, 5.931491850896667)	(3.0, 3.024631088137864)	(4.0, 1.8885783669515779)	(5.0, 1.2873588359331996)	(6.0, 0.9924379266593422)	(7.0, 0.7847074147031436)	(8.0, 0.6468634213119063)	(9.0, 0.5011285857154016)	('>10', 4.244398612242737)	('>50', 0.7889748498484996)	('>100', 1.2908216137178485)	('>500', 0.6533311316385866)	('>1k', 4.687092922446006)	('>5k', 4.6371797602187215)	('>10k+', 35.17623444587359)
SRR23426216_2	(1.0, 64.45169249977103)	(2.0, 8.817147145625405)	(3.0, 3.4685175223835434)	(4.0, 1.815571458774435)	(5.0, 1.122030061416145)	(6.0, 0.7153711170931596)	(7.0, 0.5395730697477498)	(8.0, 0.3914954518284551)	(9.0, 0.2977905989999238)	('>10', 1.5877033881482898)	('>50', 0.14533627959312526)	('>100', 0.33983768074011733)	('>500', 0.4852763133944102)	('>1k', 4.350325684109134)	('>5k', 3.760932502022703)	('>10k+', 7.711399226352354)
SRR23426217_1	(1.0, 31.435325316894158)	(2.0, 5.28136370530332)	(3.0, 2.6320609035815608)	(4.0, 1.5888900439870648)	(5.0, 1.1736526593071925)	(6.0, 0.8344495186643424)	(7.0, 0.6595694670710349)	(8.0, 0.5357004724292395)	(9.0, 0.46122925955883454)	('>10', 4.332587579583256)	('>50', 0.9794629045251397)	('>100', 1.7181159360881864)	('>500', 0.8665015529522184)	('>1k', 5.68778941906171)	('>5k', 3.862809168870739)	('>10k+', 37.950492092122026)
SRR23426217_2	(1.0, 65.11400633994934)	(2.0, 9.150287144044892)	(3.0, 3.645629485846929)	(4.0, 1.9424686091912575)	(5.0, 1.1823847265627192)	(6.0, 0.8035250012625412)	(7.0, 0.5447942451590556)	(8.0, 0.4110169994176702)	(9.0, 0.33654302603695113)	('>10', 1.8499502914067132)	('>50', 0.16807423119169887)	('>100', 0.27530847728478286)	('>500', 0.40526571237875014)	('>1k', 2.5953976146024087)	('>5k', 3.190950174730238)	('>10k+', 8.384397920934038)
SRR23426218_1	(1.0, 33.766012479348994)	(2.0, 5.756780752161348)	(3.0, 2.802336508066998)	(4.0, 1.7933166357137147)	(5.0, 1.2217810084608176)	(6.0, 0.9567526874797437)	(7.0, 0.7464423491133066)	(8.0, 0.5637282602762624)	(9.0, 0.45357430112004427)	('>10', 4.413411736999354)	('>50', 0.9951334171227393)	('>100', 1.8834382873740037)	('>500', 1.0700773310664946)	('>1k', 6.131358732515594)	('>5k', 5.784942900046873)	('>10k+', 31.660912613133696)
SRR23426218_2	(1.0, 67.6020523233586)	(2.0, 9.023312438770878)	(3.0, 3.4328148859083987)	(4.0, 1.8484458596988895)	(5.0, 1.1074719809130127)	(6.0, 0.7508180732181181)	(7.0, 0.5203714663826573)	(8.0, 0.40625852031781534)	(9.0, 0.3272653679520253)	('>10', 1.9012529098670727)	('>50', 0.1962907821503706)	('>100', 0.4062791814228593)	('>500', 0.42149816846572913)	('>1k', 2.2447865767880653)	('>5k', 2.5107426792702885)	('>10k+', 7.3003387855152315)
SRR23426219_1	(1.0, 32.21603480937505)	(2.0, 4.980102622730295)	(3.0, 2.472879186831297)	(4.0, 1.5274079580442463)	(5.0, 1.1028576770892147)	(6.0, 0.8199014389045751)	(7.0, 0.6892332826957334)	(8.0, 0.5539123364363252)	(9.0, 0.4833248827623846)	('>10', 5.160890515737688)	('>50', 1.2758425139482987)	('>100', 1.893777537604204)	('>500', 0.7894746689832257)	('>1k', 3.7325856146695826)	('>5k', 3.715473758097127)	('>10k+', 38.586301196090716)
SRR23426219_2	(1.0, 65.59386573571435)	(2.0, 8.643369316727568)	(3.0, 3.421646800919521)	(4.0, 1.8344079023414541)	(5.0, 1.1727872415401623)	(6.0, 0.773365395303646)	(7.0, 0.5788294142966298)	(8.0, 0.42583117419596367)	(9.0, 0.3389527231705917)	('>10', 2.0650288740385037)	('>50', 0.17601937558288158)	('>100', 0.3303460505291214)	('>500', 0.29190769941340783)	('>1k', 2.5880470627092302)	('>5k', 2.4365083521962783)	('>10k+', 9.329086881320722)
SRR23426220_1	(1.0, 34.60977948700536)	(2.0, 6.3485283522108835)	(3.0, 3.1285474614715523)	(4.0, 1.9262028592005493)	(5.0, 1.3493646980417457)	(6.0, 0.9495381671482445)	(7.0, 0.7523523518451635)	(8.0, 0.5995003184348897)	(9.0, 0.5060020206527766)	('>10', 3.8447929321849075)	('>50', 0.7391390579726134)	('>100', 1.079501491483087)	('>500', 0.6693912134036746)	('>1k', 2.8534425418763556)	('>5k', 4.541279360199532)	('>10k+', 36.102637686868675)
SRR23426220_2	(1.0, 63.10376844819929)	(2.0, 8.943458813355578)	(3.0, 3.4572261955485093)	(4.0, 1.8680328718228323)	(5.0, 1.2007132360984343)	(6.0, 0.8076980452935133)	(7.0, 0.5446608651629318)	(8.0, 0.44347848050134914)	(9.0, 0.31110326140384964)	('>10', 1.8800561953112485)	('>50', 0.14615644662549274)	('>100', 0.3878094374267058)	('>500', 0.22500732991866404)	('>1k', 3.871361749016238)	('>5k', 3.0725400481116862)	('>10k+', 9.736928576203633)
SRR23426221_1	(1.0, 31.467465944361212)	(2.0, 6.1479406643207355)	(3.0, 3.0570377162986895)	(4.0, 1.8960475938735157)	(5.0, 1.2366894130092048)	(6.0, 0.9368731143933893)	(7.0, 0.7074875634175503)	(8.0, 0.5633633543658905)	(9.0, 0.45249503998984364)	('>10', 3.5742337788347616)	('>50', 0.6243077642536757)	('>100', 1.1303988279837487)	('>500', 0.7930074367519885)	('>1k', 3.8305143711303815)	('>5k', 4.3535820998633445)	('>10k+', 39.22855531715203)
SRR23426221_2	(1.0, 72.57649365815504)	(2.0, 7.032984722962497)	(3.0, 2.6418282506491675)	(4.0, 1.3821976367338678)	(5.0, 0.8064904221152756)	(6.0, 0.5444259449431574)	(7.0, 0.397554084355063)	(8.0, 0.27419301132767004)	(9.0, 0.2217981762290147)	('>10', 1.1720065516114198)	('>50', 0.08715961034728746)	('>100', 0.30267480888437387)	('>500', 0.2983912878396001)	('>1k', 3.294938554343684)	('>5k', 3.0018939930657655)	('>10k+', 5.964969286437131)
SRR23426222_1	(1.0, 35.838552381748585)	(2.0, 6.807441185321617)	(3.0, 3.5134148192326213)	(4.0, 2.2023083857861674)	(5.0, 1.5106960124848567)	(6.0, 1.0445974059967265)	(7.0, 0.7923628263104683)	(8.0, 0.6808015385100611)	(9.0, 0.5333171017128946)	('>10', 3.945264476020877)	('>50', 0.5296521571207597)	('>100', 0.7668562006450722)	('>500', 0.6077879619897009)	('>1k', 2.2697986343916066)	('>5k', 3.864832805449727)	('>10k+', 35.09231610727825)
SRR23426222_2	(1.0, 69.5946747153001)	(2.0, 8.683905738256138)	(3.0, 3.2240414062099343)	(4.0, 1.5950693315410607)	(5.0, 0.9693520623825707)	(6.0, 0.5549933990583089)	(7.0, 0.38110560857975223)	(8.0, 0.2983559237442753)	(9.0, 0.21163765765021345)	('>10', 1.0569148332905618)	('>50', 0.07005960709243889)	('>100', 0.21843226593608925)	('>500', 0.2306840114667378)	('>1k', 2.002040505259834)	('>5k', 2.4121636058447726)	('>10k+', 8.49656932838724)
