Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR23426210_1 - illumina_universal_adapter	(1, 8.514669782657378e-05)	(2, 0.00012298967463838435)	(3, 0.00014191116304428962)	(4, 0.00017975413985610018)	(5, 0.0002554400934797213)	(6, 0.00033112604710334244)	(7, 0.0004351942333358215)	(8, 0.000529801675365348)	(9, 0.0007473987920332587)	(10, 0.0009839173971070748)	(11, 0.0015799442818930911)	(12, 0.0019299918174023388)	(13, 0.0021948926550850126)	(14, 0.002611165400014929)	(15, 0.0033112604710334244)	(16, 0.0036234650297308616)	(17, 0.004001894797848967)	(18, 0.0046546861478527)	(19, 0.005193948567421)	(20, 0.005733210986989301)	(21, 0.006244091173948744)	(22, 0.006641442430472755)	(23, 0.00719962633844696)	(24, 0.007786192479030024)	(25, 0.008183543735554034)	(26, 0.008978246248602056)	(27, 0.009924320668897322)	(28, 0.010823091368177822)	(29, 0.011873233974705565)	(30, 0.013311267093554367)	(31, 0.015430473795015758)	(32, 0.017956492497204112)	(33, 0.020709569060263333)	(34, 0.024285730368979432)	(35, 0.029252621075529568)	(36, 0.03411544359584723)	(37, 0.038230867324131626)	(38, 0.042507123703866216)	(39, 0.04699151645606577)	(40, 0.05204355386044248)	(41, 0.057720000382214066)	(42, 0.0638884056025392)	(43, 0.06987705668300821)	(44, 0.07693477185841088)	(45, 0.08392626182439289)	(46, 0.09263960723531227)	(47, 0.10128672743681098)	(48, 0.11018928773178942)	(49, 0.11977302160938044)	(50, 0.13307482795873185)	(51, 0.14701996491388405)	(52, 0.16258288912774113)	(53, 0.18042585269450984)	(54, 0.19985822128737454)	(55, 0.22772957370927302)	(56, 0.2629803066094746)	(57, 0.2953360517835726)	(58, 0.32474004476634943)	(59, 0.3521478207223032)	(60, 0.3796029003992718)	(61, 0.4046265688160815)	(62, 0.43260198942421246)	(63, 0.46111667245191174)	(64, 0.48964081622381395)	(65, 0.5199908836268861)
SRR23426210_2 - illumina_universal_adapter	(1, 7.568595362362113e-05)	(2, 0.00010406818623247906)	(3, 0.00012298967463838435)	(4, 0.00018921488405905282)	(5, 0.000264900837682674)	(6, 0.00035950827971220037)	(7, 0.00045411572174172677)	(8, 0.0005487231637712532)	(9, 0.0007947025130480219)	(10, 0.001031221118121838)	(11, 0.0016461694913137597)	(12, 0.002062442236243676)	(13, 0.00232734307392635)	(14, 0.0027436158188562662)	(15, 0.003462632378280667)	(16, 0.003793758425384009)	(17, 0.004172188193502115)	(18, 0.004824979543505847)	(19, 0.005373702707277101)	(20, 0.005931886615251306)	(21, 0.006452227546413701)	(22, 0.006896882523952476)	(23, 0.0075118308971443976)	(24, 0.008136240014539272)	(25, 0.008514669782657377)	(26, 0.009337754528314257)	(27, 0.010264907460203617)	(28, 0.011125835182672307)	(29, 0.012261124487026624)	(30, 0.013642393140657709)	(31, 0.015808903563133865)	(32, 0.01837276524213403)	(33, 0.021125841805193248)	(34, 0.024758767579127063)	(35, 0.029782422750894915)	(36, 0.034616863038603715)	(37, 0.038741747511091065)	(38, 0.042970700169810895)	(39, 0.04734156399157502)	(40, 0.05239360139595173)	(41, 0.05808896940612922)	(42, 0.06421007090543958)	(43, 0.07005681082286432)	(44, 0.07700099706783155)	(45, 0.08386003661497221)	(46, 0.09255446053748569)	(47, 0.10105966957594012)	(48, 0.10988654391729494)	(49, 0.11939459184126233)	(50, 0.13273424116742555)	(51, 0.14646178100590984)	(52, 0.1616935791726636)	(53, 0.17946085678580867)	(54, 0.1989878328207029)	(55, 0.22661320589332462)	(56, 0.26161795944424937)	(57, 0.29390747940892675)	(58, 0.3228478959257589)	(59, 0.3499056243462034)	(60, 0.3766038444869358)	(61, 0.40094633932113294)	(62, 0.4286379376031753)	(63, 0.4566890441649299)	(64, 0.4849388263549465)	(65, 0.5145320342217824)
SRR23426210_2 - polya	(1, 0.00017029339565314755)	(2, 0.0005865661405830638)	(3, 0.0013245041884133698)	(4, 0.0028855269819005555)	(5, 0.004645225403649747)	(6, 0.007190165594244007)	(7, 0.011684019090646511)	(8, 0.02008515994286846)	(9, 0.027842970189289624)	(10, 0.03520342917918678)	(11, 0.04290447496039023)	(12, 0.05135291953362694)	(13, 0.057653775172793395)	(14, 0.06547781062863524)	(15, 0.0728571911069383)	(16, 0.08086098070263623)	(17, 0.08799438183166251)	(18, 0.095487291240401)	(19, 0.10346269860349008)	(20, 0.11180707499049432)	(21, 0.11878910421227337)	(22, 0.1261779454347794)	(23, 0.13403982386743302)	(24, 0.14394522304792445)	(25, 0.1538411614842129)	(26, 0.16391685406035747)	(27, 0.17287617882055362)	(28, 0.18022717706624783)	(29, 0.18661317940324085)	(30, 0.19279104536776892)	(31, 0.19926219440258852)	(32, 0.2046832008308804)	(33, 0.21013258949178112)	(34, 0.2159887901534088)	(35, 0.221144895744018)	(36, 0.22582796412447956)	(37, 0.23074755111001494)	(38, 0.23535493353685286)	(39, 0.23945143577673136)	(40, 0.24306544006225927)	(41, 0.24708625634851414)	(42, 0.25089893626230403)	(43, 0.2547305376644999)	(44, 0.25870405022973997)	(45, 0.26309383553991)	(46, 0.26674568280224975)	(47, 0.2708421850421282)	(48, 0.2746548649559181)	(49, 0.2785337700791287)	(50, 0.28198694171320643)	(51, 0.2856482497197491)	(52, 0.28911088209802976)	(53, 0.29220454545239527)	(54, 0.29483463234081614)	(55, 0.2978336882531521)	(56, 0.3007097544908497)	(57, 0.30380341784521525)	(58, 0.3070106101300162)	(59, 0.3107192218575736)	(60, 0.31486302781846687)	(61, 0.3191771271750133)	(62, 0.3231695612286593)	(63, 0.3280702267257887)	(64, 0.3335101546424865)	(65, 0.3403691941896272)
SRR23426210_2 - polyg	(1, 0.9467177509010649)	(2, 0.9545323256127038)	(3, 0.9570299620822833)	(4, 0.9578246645953313)	(5, 0.9585909848757705)	(6, 0.9594802948308481)	(7, 0.9609561709265086)	(8, 0.962488811487387)	(9, 0.9643904210721804)	(10, 0.9655257103765348)	(11, 0.9667934500997304)	(12, 0.9676732993106051)	(13, 0.968477462567856)	(14, 0.9687896671265535)	(15, 0.9691113324294538)	(16, 0.9694424584765572)	(17, 0.9697262808026458)	(18, 0.9700384853613432)	(19, 0.9702087787569963)	(20, 0.9703979936410554)	(21, 0.9706534337345352)	(22, 0.9709467168048267)	(23, 0.9712399998751182)	(24, 0.9714670577359891)	(25, 0.971684654852657)	(26, 0.9718265660157013)	(27, 0.9728956301106348)	(28, 0.9731226879715058)	(29, 0.9735578822048415)	(30, 0.9746174855555723)	(31, 0.9749675330910815)	(32, 0.975270276905576)	(33, 0.9755067955106498)	(34, 0.9757622356041296)	(35, 0.9759987542092033)	(36, 0.9762541943026831)	(37, 0.976452869930945)	(38, 0.9766988492802219)	(39, 0.9769164463968898)	(40, 0.9772664939323991)	(41, 0.9775503162584875)	(42, 0.9778057563519673)	(43, 0.9779665890034175)	(44, 0.9781368823990707)	(45, 0.9782977150505209)	(46, 0.9784207047251592)	(47, 0.9785720766324065)	(48, 0.9787707522606685)	(49, 0.9791775642613955)	(50, 0.9793951613780634)	(51, 0.979669522959949)	(52, 0.9799155023092257)	(53, 0.9801520209142995)	(54, 0.9804263824961852)	(55, 0.980662901101259)	(56, 0.9809088804505358)	(57, 0.9811832420324214)	(58, 0.9814197606374953)	(59, 0.9816278970099602)	(60, 0.9818171118940192)	(61, 0.9820820127317019)	(62, 0.982252306127355)	(63, 0.9824509817556171)	(64, 0.9826401966396761)	(65, 0.9827915685469234)
SRR23426211_1 - illumina_universal_adapter	(1, 0.00012053476233503448)	(2, 0.00017532329066914106)	(3, 0.00029585805300417556)	(4, 0.0003506465813382821)	(5, 0.0004383082266728527)	(6, 0.0007012931626765642)	(7, 0.0008108702193447774)	(8, 0.000865658747678884)	(9, 0.0012272630346839874)	(10, 0.0015012056763545204)	(11, 0.002147710310696978)	(12, 0.002629849360037116)	(13, 0.0029914536470422195)	(14, 0.003495508107716)	(15, 0.0043392514440612415)	(16, 0.004667982614065881)	(17, 0.005150121663406019)	(18, 0.005895245648749868)	(19, 0.006684200456761003)	(20, 0.00740740903077121)	(21, 0.008207321544449166)	(22, 0.008678502888122483)	(23, 0.00941266916779951)	(24, 0.010256412504144751)	(25, 0.010804297787485819)	(26, 0.01173570276916563)	(27, 0.012667107750845442)	(28, 0.013675216672193003)	(29, 0.014792902650208778)	(30, 0.016020165684892763)	(31, 0.017696694651916426)	(32, 0.019515673792608764)	(33, 0.021762003454307136)	(34, 0.024852076452350744)	(35, 0.0286324849074041)	(36, 0.0324895973021252)	(37, 0.03628096346284538)	(38, 0.04007232962356556)	(39, 0.04409380760328898)	(40, 0.04853167839835161)	(41, 0.05372563088442491)	(42, 0.058547021377826296)	(43, 0.06368618533556548)	(44, 0.07033751267532604)	(45, 0.07668202425641557)	(46, 0.0855358504352072)	(47, 0.0931952866963153)	(48, 0.10172038170510228)	(49, 0.11105634693323405)	(50, 0.12336185039707438)	(51, 0.13743154447327294)	(52, 0.1522134894178149)	(53, 0.16980060701306313)	(54, 0.18915191522066957)	(55, 0.2169844876143957)	(56, 0.25212584968789165)	(57, 0.28373883053667115)	(58, 0.3131273971350859)	(59, 0.33966696026012716)	(60, 0.3685185992808677)	(61, 0.3946965581189038)	(62, 0.42308797350163785)	(63, 0.4521039781073807)	(64, 0.4821609647514716)	(65, 0.5147930122272655)
SRR23426211_2 - illumina_universal_adapter	(1, 8.766164533457053e-05)	(2, 0.0001314924680018558)	(3, 0.00024106952467006895)	(4, 0.00028490034733735423)	(5, 0.0003944774040055674)	(6, 0.0006793777513429216)	(7, 0.0008108702193447774)	(8, 0.0008766164533457054)	(9, 0.0012272630346839874)	(10, 0.001523121087688163)	(11, 0.0021696257220306207)	(12, 0.0026846378883712226)	(13, 0.003046242175376326)	(14, 0.0035722120473837492)	(15, 0.004437870795062633)	(16, 0.00474468655373363)	(17, 0.005226825603073768)	(18, 0.005939076471417153)	(19, 0.006717073573761467)	(20, 0.0074841129704389595)	(21, 0.008305940895450559)	(22, 0.008788079944790696)	(23, 0.009500330813134082)	(24, 0.010376947266479787)	(25, 0.010946747961154494)	(26, 0.01191102605983477)	(27, 0.012886261864181868)	(28, 0.013883413079862609)	(29, 0.015023014469212025)	(30, 0.016250277503896012)	(31, 0.01806925664458835)	(32, 0.01989919349094751)	(33, 0.022211269386646807)	(34, 0.025432834852692276)	(35, 0.029191327896411986)	(36, 0.03307035570246673)	(37, 0.03675214480651869)	(38, 0.04054351096723887)	(39, 0.04459786206396276)	(40, 0.04892615580235718)	(41, 0.053955742703428164)	(42, 0.058864794842164114)	(43, 0.06388342403756828)	(44, 0.07037038579232649)	(45, 0.07661627802241465)	(46, 0.08509754220853434)	(47, 0.09270218994130834)	(48, 0.10119441183309485)	(49, 0.11034409606489065)	(50, 0.12247427623806185)	(51, 0.13620428143858895)	(52, 0.15090952244346317)	(53, 0.16835418986504272)	(54, 0.18745347084231226)	(55, 0.2152860432360384)	(56, 0.24970419673552416)	(57, 0.2806158844216271)	(58, 0.30928124244603167)	(59, 0.33537153963873323)	(60, 0.3634670969684631)	(61, 0.3891410013458254)	(62, 0.41734613573222346)	(63, 0.4462525632812981)	(64, 0.4762657191027217)	(65, 0.5079115730685017)
SRR23426211_2 - polya	(1, 0.0001314924680018558)	(2, 0.0005588429890078871)	(3, 0.0014683325593540565)	(4, 0.0033421002283805013)	(5, 0.00582949941474894)	(6, 0.008788079944790696)	(7, 0.014705241004874206)	(8, 0.024512387576679284)	(9, 0.033475790812139125)	(10, 0.042252913051263)	(11, 0.051238231698056476)	(12, 0.06056323922052142)	(13, 0.06871577223663647)	(14, 0.0777230062947636)	(15, 0.08601798948454734)	(16, 0.09521150453901042)	(17, 0.10375851495913105)	(18, 0.11312735330426327)	(19, 0.12267151494006463)	(20, 0.1323142959268674)	(21, 0.14009426695031052)	(22, 0.14865223507609798)	(23, 0.1572430763188859)	(24, 0.1679925855780376)	(25, 0.17812846331984733)	(26, 0.1889765919300004)	(27, 0.19814819157312988)	(28, 0.20627880917791128)	(29, 0.21324790998200963)	(30, 0.2206334036014472)	(31, 0.22841337462489034)	(32, 0.23623717647100076)	(33, 0.2442691747247808)	(34, 0.253944828828584)	(35, 0.2623165159580355)	(36, 0.26988829057380903)	(37, 0.2766601526759046)	(38, 0.2827855101436577)	(39, 0.2883848977394034)	(40, 0.29384183516148044)	(41, 0.29838928301321127)	(42, 0.30315588497827856)	(43, 0.3083607951700187)	(44, 0.31255759644041126)	(45, 0.31724749446581074)	(46, 0.32160866132120564)	(47, 0.3259588704709337)	(48, 0.3299693907449903)	(49, 0.33381554543404457)	(50, 0.33781510800243436)	(51, 0.34145306628381905)	(52, 0.3452115593275388)	(53, 0.3484002516765838)	(54, 0.3514574515576269)	(55, 0.3548543403143415)	(56, 0.3579334556067183)	(57, 0.3610125708990951)	(58, 0.3640368976631378)	(59, 0.36766389823885565)	(60, 0.371137490935238)	(61, 0.37487406856762406)	(62, 0.37900512360401567)	(63, 0.3830813901120732)	(64, 0.38732202220513307)	(65, 0.3922749051665363)
SRR23426211_2 - polyg	(1, 0.8769232691043763)	(2, 0.8856565605208329)	(3, 0.8884507754658724)	(4, 0.8891630263342157)	(5, 0.890127304432896)	(6, 0.8912669058222454)	(7, 0.8925708727965972)	(8, 0.8939625014162834)	(9, 0.8957486074399753)	(10, 0.8969429973576588)	(11, 0.8983674990943457)	(12, 0.899266030959025)	(13, 0.900065943472703)	(14, 0.9003946746427076)	(15, 0.9007014904013786)	(16, 0.9009863907487159)	(17, 0.9012055448620524)	(18, 0.9013918258583883)	(19, 0.9015671491490574)	(20, 0.9017424724397266)	(21, 0.9019506688473962)	(22, 0.902268442311734)	(23, 0.9025204695420709)	(24, 0.9027067505384069)	(25, 0.9028601584177424)	(26, 0.9030793125310788)	(27, 0.9046462644414343)	(28, 0.9048106300264366)	(29, 0.9051064880794407)	(30, 0.9061803432347892)	(31, 0.9064762012877934)	(32, 0.9067830170464644)	(33, 0.9071884521561367)	(34, 0.9075719718544756)	(35, 0.9078568722018129)	(36, 0.908097941726483)	(37, 0.9083170958398193)	(38, 0.9086019961871568)	(39, 0.9087663617721591)	(40, 0.9090622198251632)	(41, 0.909325204761167)	(42, 0.9095553165801702)	(43, 0.9096758513425052)	(44, 0.9098292592218408)	(45, 0.9100155402181767)	(46, 0.9101689480975121)	(47, 0.9103004405655141)	(48, 0.9104976792675168)	(49, 0.9107716219091874)	(50, 0.9109907760225238)	(51, 0.911407168837863)	(52, 0.9116811114795336)	(53, 0.9119440964155372)	(54, 0.9121961236458741)	(55, 0.9124591085818778)	(56, 0.9127001781065479)	(57, 0.9129850784538852)	(58, 0.9132151902728886)	(59, 0.9133905135635576)	(60, 0.9136534984995613)	(61, 0.9138507372015642)	(62, 0.9140260604922333)	(63, 0.9142561723112366)	(64, 0.9144643687189061)	(65, 0.914661607420909)
SRR23426212_1 - illumina_universal_adapter	(1, 0.00012389316939789158)	(2, 0.00014454203096420684)	(3, 0.00021681304644631028)	(4, 0.00024778633879578315)	(5, 0.0003510306466273595)	(6, 0.0005368704007241968)	(7, 0.0006194658469894579)	(8, 0.0007123857240378766)	(9, 0.0011253629553641818)	(10, 0.0014454203096420685)	(11, 0.0022610503415115214)	(12, 0.002859867326934664)	(13, 0.003262520127477812)	(14, 0.003789066097418851)	(15, 0.0046150205600714615)	(16, 0.004986700068265137)	(17, 0.005286108560976708)	(18, 0.005915898838749324)	(19, 0.006535364685738781)	(20, 0.007134181671161924)	(21, 0.007712349795018752)	(22, 0.008145975887911373)	(23, 0.008744792873334515)	(24, 0.00941588087423976)	(25, 0.009963075705747115)	(26, 0.010747732445267095)	(27, 0.01147044260008813)	(28, 0.012348019216656528)	(29, 0.013173973679309139)	(30, 0.014381932080938582)	(31, 0.01585832568293012)	(32, 0.017510234608235344)	(33, 0.020019071288542648)	(34, 0.022693098861380476)	(35, 0.02616210760452144)	(36, 0.03003376914820555)	(37, 0.03322401826020126)	(38, 0.03715762638858432)	(39, 0.04118415439401579)	(40, 0.04508678923004938)	(41, 0.04974310751325347)	(42, 0.054884674043265975)	(43, 0.0600675382964111)	(44, 0.06676809387468041)	(45, 0.07301437449849077)	(46, 0.08144943444833055)	(47, 0.08978125009033877)	(48, 0.09826793219409434)	(49, 0.10727083583700779)	(50, 0.11950528631504959)	(51, 0.13326775254899872)	(52, 0.14905380721644673)	(53, 0.1675138894567326)	(54, 0.18726452554491313)	(55, 0.21363312176509772)	(56, 0.2468777888868653)	(57, 0.27648825637296137)	(58, 0.3052934182579712)	(59, 0.33124903724682947)	(60, 0.35881526743786035)	(61, 0.38589624938208283)	(62, 0.4135037772962463)	(63, 0.4413590915492056)	(64, 0.47056690623475855)	(65, 0.5017466871998946)
SRR23426212_2 - illumina_universal_adapter	(1, 0.00011356873861473396)	(2, 0.00015486646174736447)	(3, 0.00020648861566315265)	(4, 0.00027875963114525607)	(5, 0.0003716795081936748)	(6, 0.0005368704007241968)	(7, 0.000588492554639985)	(8, 0.0006917368624715614)	(9, 0.0010840652322315514)	(10, 0.0014144470172925956)	(11, 0.0021991037568125757)	(12, 0.002808245173018876)	(13, 0.0032108979735620234)	(14, 0.003768417235852536)	(15, 0.004594371698505146)	(16, 0.00501767336061461)	(17, 0.005379028438025127)	(18, 0.005988169854231427)	(19, 0.006597311270437727)	(20, 0.007227101548210342)	(21, 0.007836242964416642)	(22, 0.008249220195742948)	(23, 0.008806739458033461)	(24, 0.009457178597372391)	(25, 0.010045671152012376)	(26, 0.010789030168399726)	(27, 0.011522064754003917)	(28, 0.01243061466292179)	(29, 0.013266893556357557)	(30, 0.014443878665637528)	(31, 0.01604416543702696)	(32, 0.017727047654681655)	(33, 0.0202255599042058)	(34, 0.022868614184694155)	(35, 0.026224054189220386)	(36, 0.030054418009771867)	(37, 0.03327564041411705)	(38, 0.03719892411171695)	(39, 0.04114285667088317)	(40, 0.04507646479926622)	(41, 0.04968116092855453)	(42, 0.054760780873868084)	(43, 0.05998494285014584)	(44, 0.06645836095118568)	(45, 0.07258074840559815)	(46, 0.08086094189369057)	(47, 0.08906886436630089)	(48, 0.09732840899282699)	(49, 0.10637261035887309)	(50, 0.11860706083691488)	(51, 0.13232822934773136)	(52, 0.14792844426108256)	(53, 0.16623366003962103)	(54, 0.1859120251123195)	(55, 0.21199153727057565)	(56, 0.24480257829945062)	(57, 0.27413428615440144)	(58, 0.3022167378845902)	(59, 0.3274599711494106)	(60, 0.3545099798012836)	(61, 0.38097149589851664)	(62, 0.4081660465813538)	(63, 0.43595941424961415)	(64, 0.4650743090581187)	(65, 0.49526294466807164)
SRR23426212_2 - polya	(1, 0.00010324430783157633)	(2, 0.0004233016621094629)	(3, 0.0009395232012673445)	(4, 0.0021474816028967873)	(5, 0.003758092805069378)	(6, 0.006370173793208259)	(7, 0.011067789799544982)	(8, 0.018016131716610068)	(9, 0.024551496402348848)	(10, 0.03095264348790658)	(11, 0.03728151955798221)	(12, 0.044446674521493604)	(13, 0.05065165742217134)	(14, 0.05711475109242802)	(15, 0.06326811183918997)	(16, 0.07022677818703821)	(17, 0.07628721905675175)	(18, 0.08287420589640632)	(19, 0.08958508590545877)	(20, 0.0961823971758965)	(21, 0.10146850573687322)	(22, 0.10713661823682676)	(23, 0.11384749824587921)	(24, 0.12104362650174008)	(25, 0.1284462433732641)	(26, 0.1351984211054492)	(27, 0.1424048737920932)	(28, 0.14798006641499833)	(29, 0.15285319774464876)	(30, 0.15725140525827389)	(31, 0.1625375138192506)	(32, 0.16745194287203363)	(33, 0.17220118103228615)	(34, 0.17713625894663548)	(35, 0.1815447908910438)	(36, 0.18589137625075317)	(37, 0.19027925933359516)	(38, 0.19383086352300138)	(39, 0.1973101966969255)	(40, 0.20095472076338014)	(41, 0.2043101607679064)	(42, 0.2073558678489379)	(43, 0.21057709025328306)	(44, 0.21371571721136298)	(45, 0.21681304644631028)	(46, 0.21966258934246177)	(47, 0.22288381174680696)	(48, 0.22544427058103006)	(49, 0.2284796532312784)	(50, 0.23104011206550149)	(51, 0.23345602886876038)	(52, 0.2362229763186466)	(53, 0.2387627862913034)	(54, 0.24088961903263387)	(55, 0.2434913755899896)	(56, 0.24560788390053692)	(57, 0.24781731208813265)	(58, 0.25027452661452415)	(59, 0.2529279053257957)	(60, 0.2558187459450798)	(61, 0.25861666668731553)	(62, 0.2616933470606965)	(63, 0.26477002743407746)	(64, 0.2677124902072774)	(65, 0.2714809074431299)
SRR23426212_2 - polyg	(1, 0.6053936478320141)	(2, 0.611743172763656)	(3, 0.6136531924585402)	(4, 0.6141177918437822)	(5, 0.6146133645213738)	(6, 0.6155012655687254)	(7, 0.6167918194166201)	(8, 0.6177829647718033)	(9, 0.6193626026816264)	(10, 0.6203743968983758)	(11, 0.6213345689612094)	(12, 0.6220159813928978)	(13, 0.6225631762244053)	(14, 0.6228729091479)	(15, 0.6231206954866957)	(16, 0.6234407528409737)	(17, 0.6238124323491673)	(18, 0.6240498942571799)	(19, 0.6242254095804936)	(20, 0.6245661157963378)	(21, 0.6247519555504346)	(22, 0.6250203907507967)	(23, 0.6252785015203757)	(24, 0.6254849901360389)	(25, 0.6257224520440514)	(26, 0.6259289406597146)	(27, 0.6267445706915841)	(28, 0.6270130058919462)	(29, 0.6273330632462241)	(30, 0.6282725864474914)	(31, 0.6286752392480346)	(32, 0.6288507545713482)	(33, 0.6291295142024935)	(34, 0.6293979494028555)	(35, 0.6297180067571334)	(36, 0.6299864419574955)	(37, 0.6302239038655082)	(38, 0.6304200680503882)	(39, 0.6306368810968345)	(40, 0.6309466140203293)	(41, 0.6313389423900893)	(42, 0.6316073775904513)	(43, 0.6318448394984639)	(44, 0.6320719769756934)	(45, 0.6321855457143082)	(46, 0.6324230076223207)	(47, 0.6325159274993691)	(48, 0.6327430649765986)	(49, 0.6329495535922618)	(50, 0.6331766910694913)	(51, 0.6335070728545523)	(52, 0.6337858324856975)	(53, 0.6340645921168429)	(54, 0.6343743250403375)	(55, 0.6345498403636513)	(56, 0.6348905465794954)	(57, 0.635189955072207)	(58, 0.6353654703955207)	(59, 0.6356235811650996)	(60, 0.6358920163654618)	(61, 0.6361191538426912)	(62, 0.6363566157507038)	(63, 0.6365940776587165)	(64, 0.6367799174128133)	(65, 0.6368831617206449)
SRR23426213_1 - illumina_universal_adapter	(1, 0.00012868215956973834)	(2, 0.0001470653252225581)	(3, 0.0002849390676187063)	(4, 0.00031251381609793597)	(5, 0.0004871538897997237)	(6, 0.0008364340372032992)	(7, 0.0009283498654673979)	(8, 0.001148947853301235)	(9, 0.0015074195835312204)	(10, 0.0018658913137612058)	(11, 0.0027207085166173245)	(12, 0.0037409742103488215)	(13, 0.004301660762759825)	(14, 0.004880730480823646)	(15, 0.006066444665430521)	(16, 0.006608748052188704)	(17, 0.00691207028546023)	(18, 0.007877186482233269)	(19, 0.008676854188130927)	(20, 0.009531671390987047)	(21, 0.010671427661461872)	(22, 0.011351604790616202)	(23, 0.01229833782173642)	(24, 0.01309800552763408)	(25, 0.013833332153746871)	(26, 0.014899555761610417)	(27, 0.016131227860349342)	(28, 0.017077960891469558)	(29, 0.01854861414369514)	(30, 0.02023986538375456)	(31, 0.02222524727425909)	(32, 0.024909189459570776)	(33, 0.027979178123591675)	(34, 0.031729343916766906)	(35, 0.03700531245912618)	(36, 0.04216179042474212)	(37, 0.04687707241469039)	(38, 0.05133499008549918)	(39, 0.055691800345217465)	(40, 0.06095857730475033)	(41, 0.0668779566449583)	(42, 0.07270542015690215)	(43, 0.07850530892036679)	(44, 0.08542657078865343)	(45, 0.0925592390619475)	(46, 0.1020357609559761)	(47, 0.11187075458023465)	(48, 0.12179766403275732)	(49, 0.13277241392749073)	(50, 0.14784660976280292)	(51, 0.16477750532904994)	(52, 0.1829952224909943)	(53, 0.20480684853806497)	(54, 0.2268758389042751)	(55, 0.25884416397452864)	(56, 0.2989838061774606)	(57, 0.33641193144660164)	(58, 0.3709906660395556)	(59, 0.4018376180049872)	(60, 0.4333004060197882)	(61, 0.461932186524055)	(62, 0.49195189603510964)	(63, 0.5249772531304003)	(64, 0.5595376045577015)	(65, 0.5965429170168277)
SRR23426213_2 - illumina_universal_adapter	(1, 0.00011949057674332845)	(2, 0.0001470653252225581)	(3, 0.0002849390676187063)	(4, 0.00035847173022998533)	(5, 0.0005239202211053632)	(6, 0.0008732003685089387)	(7, 0.0009743077795994474)	(8, 0.0011857141846068745)	(9, 0.0015258027491840403)	(10, 0.0018842744794140256)	(11, 0.0028034327620550135)	(12, 0.0038420816214393303)	(13, 0.004384385008197513)	(14, 0.004981837891914156)	(15, 0.00617674365934744)	(16, 0.006765004960237672)	(17, 0.007114285107641248)	(18, 0.008088592887240694)	(19, 0.008980176421402454)	(20, 0.009834993624258572)	(21, 0.011011516226039037)	(22, 0.01167331018954055)	(23, 0.012638426386313587)	(24, 0.013465668840690476)	(25, 0.014173420718324036)	(26, 0.015239644326187582)	(27, 0.016462124842100096)	(28, 0.017427241038873133)	(29, 0.018953043788057174)	(30, 0.020690252942248643)	(31, 0.022712401164058815)	(32, 0.02541472651502332)	(33, 0.02848471517904422)	(34, 0.03222568938939304)	(35, 0.03746489160044667)	(36, 0.042566220069104155)	(37, 0.047189586230788325)	(38, 0.05156477965615943)	(39, 0.05595835624718335)	(40, 0.061381390114765184)	(41, 0.06733753578627878)	(42, 0.07335802253757726)	(43, 0.07913952813538908)	(44, 0.08610674791780776)	(45, 0.09323022460827542)	(46, 0.10258725592556069)	(47, 0.11220165156198542)	(48, 0.12193553777515348)	(49, 0.1327632223446643)	(50, 0.14766277810627473)	(51, 0.16434550093620867)	(52, 0.18207606420835332)	(53, 0.20358436802215246)	(54, 0.2255798257257513)	(55, 0.25712533798599)	(56, 0.2972006391091371)	(57, 0.3340588862430407)	(58, 0.3684721723451193)	(59, 0.39906175999141136)	(60, 0.4297432634659676)	(61, 0.45817282914805335)	(62, 0.4876226605238706)	(63, 0.5202435879747993)	(64, 0.5544178929233912)	(65, 0.5900168932100767)
