Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR23426213_1	(1, 0.004476300836461612)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0130244728650228)	(7, 0.0)	(8, 1.8383165652819763e-05)	(9, 0.00013787374239614822)	(10, 3.6766331305639525e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0006663897549147163)	(22, 0.0)	(24, 0.0005790697180638225)	(26, 0.00013787374239614822)	(28, 0.00022978957066024702)	(30, 4.136212271884446e-05)	(32, 2.29789570660247e-05)	(34, 6.893687119807411e-05)	(36, 5.055370554525435e-05)	(38, 9.191582826409881e-06)	(40, 0.0)	(42, 8.732003685089388e-05)	(44, 0.0)	(46, 0.0005009412640393385)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0001011074110905087)	(64, 0.006696068089039598)	(66, 0.00733028730406188)	(68, 0.0003308969817507557)	(70, 0.0026517716454192504)	(72, 0.00043660018425446936)	(74, 0.0007445182089392004)	(76, 0.0009926909452522671)
SRR23426213_2	(1, 0.02084650985029761)	(2, 0.015524583393806288)	(3, 0.00929269023750039)	(4, 0.005266776959532862)	(5, 0.004761239904080319)	(6, 0.0026012179398739966)	(7, 0.004540641916246481)	(8, 0.00387884795274497)	(9, 0.002683942185311685)	(10, 0.003649058382084723)	(12, 0.0027436874736833494)	(14, 0.0034330561856640903)	(16, 0.0026517716454192504)	(18, 0.0021416387985535024)	(20, 0.0028172201362946284)	(22, 0.002224363043991191)	(24, 0.0036444625906715176)	(26, 0.006094019413909751)	(28, 0.009481117685441793)	(30, 0.007629013745920201)	(32, 0.004880730480823646)	(34, 0.004798006235385958)	(36, 0.005009412640393385)	(38, 0.00656738592946986)	(40, 0.006328404775983203)	(42, 0.006429512187073712)	(44, 0.008534384654321575)	(46, 0.0064387037699001224)	(48, 0.005937762505860783)	(50, 0.004076466983512782)	(52, 0.0021186598414874775)	(54, 0.0053586927877969604)	(56, 0.00698560294807151)	(58, 0.0068569207885017715)	(60, 0.005321926456491321)	(62, 0.0016682722829933932)	(64, 0.0020313398046365836)	(66, 0.0019026576450668453)	(68, 0.0014890364178784007)	(70, 0.0014798448350519908)	(72, 0.001387929006787892)	(74, 0.0015074195835312206)	(76, 0.0020313398046365836)
SRR23426214_1	(1, 0.004316126666407335)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.013243406378951113)	(7, 0.0)	(8, 0.0)	(9, 0.0001420497383880895)	(10, 4.370761181171985e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.000595516210934683)	(22, 0.0)	(24, 0.0005299547932171031)	(26, 0.00012565938395869456)	(28, 0.00015844009281748445)	(30, 2.1853805905859925e-05)	(32, 0.0)	(34, 6.0097966241114786e-05)	(36, 2.73172573823249e-05)	(38, 5.463451476464981e-06)	(40, 0.0)	(42, 5.46345147646498e-05)	(44, 0.0)	(46, 0.0004917106328818483)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 9.287867509990468e-05)	(64, 0.0065889224806167665)	(66, 0.007184438691551449)	(68, 0.0003715147003996187)	(70, 0.0026989450293737004)	(72, 0.0005518085991229631)	(74, 0.0005900527594582179)	(76, 0.001147324810057646)
SRR23426214_2	(1, 0.021077995796201895)	(2, 0.01640128133234787)	(3, 0.009386209636566837)	(4, 0.005135644387877082)	(5, 0.004807837299289183)	(6, 0.00287377547662058)	(7, 0.004643933754995234)	(8, 0.003693293198090327)	(9, 0.0026443105146090507)	(10, 0.003502072396414053)	(12, 0.0028246044133323953)	(14, 0.003655049037755072)	(16, 0.0026880181264207705)	(18, 0.0021034288184390176)	(20, 0.0030595328268203893)	(22, 0.002212697847968317)	(24, 0.0034583647846023326)	(26, 0.005927844851964504)	(28, 0.009091183256837727)	(30, 0.007452147813898234)	(32, 0.004906179425865553)	(34, 0.0049116428773420175)	(36, 0.005042765712777177)	(38, 0.006659947349810812)	(40, 0.006217407780217147)	(42, 0.006348530615652308)	(44, 0.00832630005013263)	(46, 0.0062665788435053325)	(48, 0.00575847785619409)	(50, 0.0041412962191604554)	(52, 0.0021853805905859922)	(54, 0.005009985003918387)	(56, 0.006763752927863647)	(58, 0.0065889224806167665)	(60, 0.005157498193782942)	(62, 0.0017865486328040487)	(64, 0.0020597212066272978)	(66, 0.0018521100505216287)	(68, 0.0014915222530749398)	(70, 0.0016390354429394942)	(72, 0.001464204995692615)	(74, 0.0016281085399865642)	(76, 0.0023055765230682217)
SRR23426215_1	(1, 0.0045929481553610855)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012835372045907501)	(7, 0.0)	(8, 0.0)	(9, 0.00022809223344908322)	(10, 1.0367828793140146e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0006013340700021286)	(22, 0.0)	(24, 0.0005080236108638672)	(26, 0.00013996568870739198)	(28, 0.00023327614784565332)	(30, 3.628740077599051e-05)	(32, 8.294263034512117e-05)	(34, 6.739088715541096e-05)	(36, 7.77587159485511e-05)	(38, 3.110348637942044e-05)	(40, 0.0)	(42, 0.00010886220232797154)	(44, 0.0)	(46, 0.00045100055250159635)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00011404611672454161)	(64, 0.006775376116317087)	(66, 0.007438917159078054)	(68, 0.0004302648949153161)	(70, 0.002597141112681607)	(72, 0.00046136838129473654)	(74, 0.0006946445291403898)	(76, 0.0010989898520728555)
SRR23426215_2	(1, 0.0196262999054143)	(2, 0.015437697072985678)	(3, 0.008677872699858303)	(4, 0.004738097758465047)	(5, 0.004323384606739441)	(6, 0.0022809223344908325)	(7, 0.004012349742945237)	(8, 0.003411015672943108)	(9, 0.002291290163283973)	(10, 0.0030688773227694833)	(12, 0.0025764054550953264)	(14, 0.0031259003811317542)	(16, 0.0023846006224222337)	(18, 0.001772898723626965)	(20, 0.0024468075951810746)	(22, 0.0018195539531960959)	(24, 0.003032589921993493)	(26, 0.005510501003553988)	(28, 0.008543090925547482)	(30, 0.006847950917869067)	(32, 0.004380407665101712)	(34, 0.0042611776339806)	(36, 0.004349304178722292)	(38, 0.0061377546455389665)	(40, 0.0056815701786408004)	(42, 0.006080731587176697)	(44, 0.007998779913907624)	(46, 0.005842271524934473)	(48, 0.005396454886829446)	(50, 0.003447303073719099)	(52, 0.0018299217819892361)	(54, 0.004841776046396448)	(56, 0.006749456544334235)	(58, 0.00643842168054003)	(60, 0.004764017330447897)	(62, 0.0012959785991425183)	(64, 0.0016795882644887038)	(66, 0.001767714809230395)	(68, 0.0013115303423322285)	(70, 0.0011819324824179768)	(72, 0.001259691198366528)	(74, 0.0012856107703493782)	(76, 0.001969887470696628)
SRR23426216_1	(1, 0.004525512335070217)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.011993142618472136)	(7, 0.0)	(8, 0.0)	(9, 0.00017117777153929898)	(10, 1.0698610721206186e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0005884235896663403)	(22, 0.0)	(24, 0.0005777249789451341)	(26, 0.0001551298554574897)	(28, 0.0002460680465877423)	(30, 4.2794442884824745e-05)	(32, 2.6746526803015467e-05)	(34, 6.954096968784021e-05)	(36, 4.2794442884824745e-05)	(38, 3.744513752422166e-05)	(40, 0.0)	(42, 9.093819113025259e-05)	(44, 0.0)	(46, 0.00042259512348764443)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00011768471793326804)	(64, 0.006718727532917486)	(66, 0.007360644176189857)	(68, 0.0005242319253391032)	(70, 0.002583714489171294)	(72, 0.0005188826199785001)	(74, 0.0007114576129602114)	(76, 0.0010163680185145878)
SRR23426216_2	(1, 0.019738936780625414)	(2, 0.015973025806760837)	(3, 0.008944038562928372)	(4, 0.004803676213821577)	(5, 0.00468599149588831)	(6, 0.0026532554588591345)	(7, 0.004268745677761269)	(8, 0.0036375276452101034)	(9, 0.002289502694338124)	(10, 0.003391459598622361)	(12, 0.0027816387875136085)	(14, 0.0034716991790314077)	(16, 0.0024927762980410414)	(18, 0.00193644854053832)	(20, 0.002813734619677227)	(22, 0.002048783953110985)	(24, 0.00342355543078598)	(26, 0.005927030339548227)	(28, 0.009254298273843352)	(30, 0.007430185145877697)	(32, 0.005039045649688114)	(34, 0.004825073435263991)	(36, 0.0048625185727882115)	(38, 0.006285433798708635)	(40, 0.00608750950036632)	(42, 0.00669198100611447)	(44, 0.008323519141098414)	(46, 0.006424515738084316)	(48, 0.0055900241018302325)	(50, 0.0037766095845857836)	(52, 0.002139722144241237)	(54, 0.00504974426040932)	(56, 0.007301801817223223)	(58, 0.007119925434962717)	(60, 0.004926710237115449)	(62, 0.001545949249214294)	(64, 0.0020862290906352066)	(66, 0.0020380853423897787)	(68, 0.0013480249508719796)	(70, 0.0013801207830355983)	(72, 0.0014015180044780107)	(74, 0.00148710689024766)	(76, 0.002171817976404856)
SRR23426217_1	(1, 0.004251545287534991)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.013062313482097639)	(7, 0.0)	(8, 2.797069268115126e-05)	(9, 0.0002330891056762605)	(10, 5.1279603248777315e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0006106934568718025)	(22, 0.0)	(24, 0.0005920463284177016)	(26, 0.00011188277072460504)	(28, 0.00013052989917870588)	(30, 2.797069268115126e-05)	(32, 1.8647128454100837e-05)	(34, 4.195603902172689e-05)	(36, 3.263247479467647e-05)	(38, 2.330891056762605e-05)	(40, 0.0)	(42, 2.797069268115126e-05)	(44, 0.0)	(46, 0.0004755017755795714)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00010722098861107982)	(64, 0.0070859088125583185)	(66, 0.007514792767002639)	(68, 0.000312339401606189)	(70, 0.0028297017429098023)	(72, 0.00045685464712547053)	(74, 0.0006759584064611554)	(76, 0.001109504143019)
SRR23426217_2	(1, 0.021434874157988917)	(2, 0.016996857585912916)	(3, 0.009938919466035747)	(4, 0.005650079921592554)	(5, 0.005165254581785933)	(6, 0.0028809813461585796)	(7, 0.004745694191568664)	(8, 0.004363428058259597)	(9, 0.003076776194926638)	(10, 0.003981161924950529)	(12, 0.0033145270827164247)	(14, 0.0038832645005664997)	(16, 0.002913613820953256)	(18, 0.002214346503924475)	(20, 0.0032725710436946973)	(22, 0.0025406712518712396)	(24, 0.004027779746085781)	(26, 0.0064472446630053646)	(28, 0.009668536103451284)	(30, 0.007906382464538756)	(32, 0.005454285072824496)	(34, 0.005230519531375286)	(36, 0.005263152006169962)	(38, 0.007305012571894003)	(40, 0.006629054165432849)	(42, 0.006657024858114)	(44, 0.008866709579924949)	(46, 0.006983349606060764)	(48, 0.006092949222377449)	(50, 0.004139662516810387)	(52, 0.0024940534307359872)	(54, 0.005617447446797878)	(56, 0.007402909996278033)	(58, 0.007318997918234579)	(60, 0.00555684427932205)	(62, 0.0018180950242748318)	(64, 0.0022376554144921007)	(66, 0.0020185516551564156)	(68, 0.0015477116616903696)	(70, 0.001645609086074399)	(72, 0.001575682354371521)	(74, 0.001734182946231378)	(76, 0.002498715212849512)
SRR23426218_1	(1, 0.004331685992597132)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.013019952724875288)	(7, 0.0)	(8, 3.319299611185542e-05)	(9, 0.0001410702334753855)	(10, 4.56403696538012e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.000568430058415524)	(22, 0.0)	(24, 0.0005435353113316325)	(26, 0.00011202636187751203)	(28, 0.00014936848250334938)	(30, 3.319299611185542e-05)	(32, 5.393861868176506e-05)	(34, 5.393861868176506e-05)	(36, 5.393861868176506e-05)	(38, 4.149124513981927e-06)	(40, 0.0)	(42, 5.8087743195746984e-05)	(44, 0.0)	(46, 0.0004398071984820843)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 4.149124513981927e-05)	(64, 0.006746476459734614)	(66, 0.007223625778842535)	(68, 0.00035682470820244574)	(70, 0.002684483560546307)	(72, 0.00048129844362190355)	(74, 0.0007758862841146204)	(76, 0.0011036671207191925)
SRR23426218_2	(1, 0.020189639885036057)	(2, 0.015642199417711864)	(3, 0.009219354670067842)	(4, 0.005584721595819674)	(5, 0.004647019455659759)	(6, 0.0026388431908925055)	(7, 0.004489352724128445)	(8, 0.003999756031478578)	(9, 0.0027716151753399273)	(10, 0.00376740505869559)	(12, 0.0029541766539551324)	(14, 0.003779852432237536)	(16, 0.0026637379379763973)	(18, 0.002207334241438385)	(20, 0.0029209836578432766)	(22, 0.002381597471025626)	(24, 0.0037051681909858612)	(26, 0.006041125292357686)	(28, 0.009028494942424673)	(30, 0.0074891697477373785)	(32, 0.005140765272823608)	(34, 0.004829580934274964)	(36, 0.005120019650253698)	(38, 0.006597107977231264)	(40, 0.006360607879934295)	(42, 0.006572213230147372)	(44, 0.008335591148589692)	(46, 0.006680090467510904)	(48, 0.005808774319574698)	(50, 0.004240405253289529)	(52, 0.002506071206445084)	(54, 0.005410458366232433)	(56, 0.007215327529814571)	(58, 0.007065959047311222)	(60, 0.005356519747550669)	(62, 0.0019832815176833614)	(64, 0.0022031851169244036)	(66, 0.002207334241438385)	(68, 0.0015725181907991503)	(70, 0.001547623443715259)	(72, 0.0016264568094809155)	(74, 0.0017924217900401925)	(76, 0.0023567027239417347)
SRR23426219_1	(1, 0.004215374213646737)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012829799077264687)	(7, 0.0)	(8, 9.183821816223827e-06)	(9, 0.00015612497087580507)	(10, 5.510293089734296e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0005418454871572059)	(22, 0.0)	(24, 0.0006107241507788845)	(26, 0.00016071688178391697)	(28, 0.00015612497087580507)	(30, 3.673528726489531e-05)	(32, 2.2959554540559568e-05)	(34, 5.969484180545487e-05)	(36, 2.755146544867148e-05)	(38, 9.183821816223827e-06)	(40, 0.0)	(42, 5.510293089734296e-05)	(44, 0.0)	(46, 0.0003581690508327292)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.265439634601445e-05)	(64, 0.006901642094892206)	(66, 0.00779706472197403)	(68, 0.0003306175853840578)	(70, 0.0026770840594292455)	(72, 0.0004867425562598628)	(74, 0.0006979704580330108)	(76, 0.0011296100833955308)
