Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR23426213_1	(1, 29.820467890170512)	(2, 30.295994611526485)	(3, 30.604464223096628)	(4, 30.971254611532)	(5, 31.04343960426927)	(6, 34.12675321399779)	(7, 34.149432893126985)	(8, 34.175152688276015)	(9, 34.197665999756055)	(10, 34.218741196187075)	(12, 34.19785966640621)	(14, 34.22155496947981)	(16, 34.23000805458403)	(18, 34.235746451658386)	(20, 34.26810284535557)	(22, 34.186381401604244)	(24, 34.06378388603393)	(26, 33.96819565276736)	(28, 33.98282842283744)	(30, 33.916852068551925)	(32, 33.85790198996849)	(34, 33.900425239387886)	(36, 33.881251873359474)	(38, 33.865220420130704)	(40, 33.799105135070775)	(42, 33.60792342933543)	(44, 33.664556034140844)	(46, 33.6531142599227)	(48, 33.41583855867157)	(50, 33.35888806297411)	(52, 33.39257985578223)	(54, 33.220957240848605)	(56, 33.122128515056595)	(58, 33.130608209793095)	(60, 33.051902524367115)	(62, 32.985383223284046)	(64, 32.86504182767639)	(66, 32.68749808700183)	(68, 32.79591101408068)	(70, 32.73160568955301)	(72, 32.638087538612695)	(74, 32.632797828654006)	(76, 31.47278239047149)
SRR23426213_2	(1, 30.819873010929985)	(2, 30.734720625057044)	(3, 30.873411407250632)	(4, 30.84974409254674)	(5, 30.81391530268939)	(6, 34.306118037019836)	(7, 34.36017630926514)	(8, 34.465606154095596)	(9, 34.4085039972815)	(10, 34.292945166050075)	(12, 34.20431928102704)	(14, 34.10304573207694)	(16, 34.0245502581502)	(18, 33.98363116972359)	(20, 33.91075519974734)	(22, 33.92012463970144)	(24, 33.91330765634032)	(26, 33.79765553054321)	(28, 33.85041916834743)	(30, 33.84349565454134)	(32, 33.771838488447884)	(34, 33.682502921314814)	(36, 33.51056016355135)	(38, 33.459963027777235)	(40, 33.32048751419985)	(42, 33.26473224597521)	(44, 33.35009364844163)	(46, 33.254022167707966)	(48, 33.073704912873445)	(50, 32.99948085940197)	(52, 32.792857248560345)	(54, 32.70197028011992)	(56, 32.604658625073405)	(58, 32.502335856943674)	(60, 32.56363470664466)	(62, 32.54428072601371)	(64, 32.35311294552636)	(66, 32.15691557687431)	(68, 32.185060295404604)	(70, 32.029495513542464)	(72, 31.830600691078345)	(74, 31.77947462567049)	(76, 29.731917559958305)
SRR23426214_1	(1, 29.882305344872726)	(2, 30.300063900528468)	(3, 30.63243613990107)	(4, 30.969695655157434)	(5, 31.035816202499113)	(6, 34.159847150110735)	(7, 34.19276684917509)	(8, 34.20985117121102)	(9, 34.228356974052105)	(10, 34.23664929143405)	(12, 34.219779409868565)	(14, 34.23970139396686)	(16, 34.24607920868243)	(18, 34.24006017882532)	(20, 34.2795536666097)	(22, 34.195856485619544)	(24, 34.07061521960234)	(26, 33.97184339256735)	(28, 33.99574113030506)	(30, 33.92299778708362)	(32, 33.858900355823664)	(34, 33.90925146999625)	(36, 33.89838712356273)	(38, 33.88439664482888)	(40, 33.81898590910303)	(42, 33.61032631665903)	(44, 33.66384251754096)	(46, 33.671065091123815)	(48, 33.42870736704909)	(50, 33.36754960049058)	(52, 33.401134365503154)	(54, 33.2318271945264)	(56, 33.126547741168764)	(58, 33.14706371171158)	(60, 33.06482133858058)	(62, 32.99102895804113)	(64, 32.877583174492585)	(66, 32.705569518923426)	(68, 32.814494788085824)	(70, 32.75394116999158)	(72, 32.639902765861386)	(74, 32.641161271908985)	(76, 31.516286439582313)
SRR23426214_2	(1, 30.83919412342418)	(2, 30.751435685778986)	(3, 30.87429548793211)	(4, 30.849738256966667)	(5, 30.81542242751202)	(6, 34.30211389679147)	(7, 34.360576542736645)	(8, 34.4635877349448)	(9, 34.41058722924774)	(10, 34.291102310340655)	(12, 34.201550767920885)	(14, 34.10049756745286)	(16, 34.02276030177484)	(18, 33.9794245324706)	(20, 33.9073256033508)	(22, 33.919067106918874)	(24, 33.90992347452786)	(26, 33.7949678661638)	(28, 33.84524205493959)	(30, 33.837860768091346)	(32, 33.77032442193405)	(34, 33.67570754974691)	(36, 33.50886330269576)	(38, 33.45932657060025)	(40, 33.32002489367031)	(42, 33.25963867572929)	(44, 33.34627869022274)	(46, 33.25294867939637)	(48, 33.071029458493285)	(50, 32.99523455908417)	(52, 32.785122890506756)	(54, 32.69850549470242)	(56, 32.59670571359014)	(58, 32.48883931595839)	(60, 32.55673898163887)	(62, 32.54327649085571)	(64, 32.351043694062454)	(66, 32.1588294183697)	(68, 32.18157955812478)	(70, 32.03084533580777)	(72, 31.826611849308392)	(74, 31.77743013228983)	(76, 29.72914272764345)
SRR23426215_1	(1, 29.9277603903529)	(2, 30.34085553871705)	(3, 30.654450323118567)	(4, 30.988553398620933)	(5, 31.051602964825793)	(6, 34.18765676805125)	(7, 34.20655991189834)	(8, 34.180174928080966)	(9, 34.20880029602225)	(10, 34.24430985044303)	(12, 34.18282297523302)	(14, 34.228955718070125)	(16, 34.24613178899685)	(18, 34.213745180126)	(20, 34.28127608480925)	(22, 34.173550403873584)	(24, 34.019614687937164)	(26, 33.925440070269)	(28, 33.98996933299921)	(30, 33.90998257064302)	(32, 33.85440649830626)	(34, 33.914085431531326)	(36, 33.91032279094486)	(38, 33.90152776177965)	(40, 33.82287876037262)	(42, 33.625655804050524)	(44, 33.69063290514546)	(46, 33.68936600830608)	(48, 33.45362667169576)	(50, 33.3754861604519)	(52, 33.413975688063545)	(54, 33.236496499147094)	(56, 33.13423290145451)	(58, 33.138270133986566)	(60, 33.080638898787285)	(62, 32.982557786908146)	(64, 32.90551284413286)	(66, 32.730225051349265)	(68, 32.82204103980614)	(70, 32.7350527271485)	(72, 32.64533176585586)	(74, 32.650681306317395)	(76, 31.485939720821328)
SRR23426215_2	(1, 29.573384166106717)	(2, 29.8982829942414)	(3, 30.11324084746218)	(4, 30.151101669935816)	(5, 30.119028376851084)	(6, 33.393156465777196)	(7, 33.477557434920364)	(8, 33.65810705633391)	(9, 33.56367552386825)	(10, 33.39112882950012)	(12, 33.27713574421986)	(14, 33.18852165232917)	(16, 33.08758435913495)	(18, 33.05148720801732)	(20, 32.94920297834544)	(22, 32.96554112134911)	(24, 32.950223069020396)	(26, 32.78609380749285)	(28, 32.839038628560196)	(30, 32.82978129790909)	(32, 32.726836170990794)	(34, 32.616978968133544)	(36, 32.39894295838322)	(38, 32.31184904938933)	(40, 32.17174800867704)	(42, 32.13377827216193)	(44, 32.23256517398616)	(46, 32.11921987064889)	(48, 31.88408342328289)	(50, 31.801104868411)	(52, 31.590617052735233)	(54, 31.489447416497768)	(56, 31.366303322650666)	(58, 31.26970900925961)	(60, 31.35637851118186)	(62, 31.335663848448885)	(64, 31.16447461390465)	(66, 30.911753914192325)	(68, 30.93005292465564)	(70, 30.737657333097914)	(72, 30.50918496320613)	(74, 30.465688500035405)	(76, 28.410806657514637)
SRR23426216_1	(1, 29.80076854539977)	(2, 30.247305126945434)	(3, 30.560318125329516)	(4, 30.911727795675365)	(5, 31.007285646915033)	(6, 34.11697593497299)	(7, 34.11486467113327)	(8, 34.1369845837299)	(9, 34.173562491869056)	(10, 34.230581486610475)	(12, 34.21473090640342)	(14, 34.22809272229145)	(16, 34.23176132940081)	(18, 34.22500895473718)	(20, 34.27179654708758)	(22, 34.19490584580649)	(24, 34.05970680671291)	(26, 33.96225642472971)	(28, 33.99404049937691)	(30, 33.92514123236013)	(32, 33.88280629480578)	(34, 33.92494528730477)	(36, 33.91392716257438)	(38, 33.898282691102864)	(40, 33.8343517519189)	(42, 33.64765141957726)	(44, 33.72351050731956)	(46, 33.71174540558861)	(48, 33.48303446407663)	(50, 33.410719558601)	(52, 33.4430687338665)	(54, 33.27166687992564)	(56, 33.2043829426486)	(58, 33.20226996703116)	(60, 33.121368784535115)	(62, 33.058909278776696)	(64, 32.92876709851966)	(66, 32.76390691010428)	(68, 32.84848311887612)	(70, 32.786225388915895)	(72, 32.713343350085935)	(74, 32.71982601277328)	(76, 31.561525356563298)
SRR23426216_2	(1, 30.75495570347217)	(2, 30.65344097276904)	(3, 30.760666086944614)	(4, 30.73783749837381)	(5, 30.69787380089971)	(6, 34.139801741905)	(7, 34.20377290786528)	(8, 34.3318024334632)	(9, 34.26793065759653)	(10, 34.14372540389395)	(12, 34.046607802197244)	(14, 33.95064511552788)	(16, 33.87411586681)	(18, 33.826977467014046)	(20, 33.74895276648955)	(22, 33.76797040293536)	(24, 33.758812071199685)	(26, 33.63601496864023)	(28, 33.68907424707457)	(30, 33.683252705036736)	(32, 33.60922912444282)	(34, 33.51468635738837)	(36, 33.330346887474576)	(38, 33.27029970446158)	(40, 33.13890075840312)	(42, 33.08319624846796)	(44, 33.16629112759934)	(46, 33.07216368061309)	(48, 32.87975430212535)	(50, 32.80141126443884)	(52, 32.58806235107534)	(54, 32.493017284247536)	(56, 32.38621567457736)	(58, 32.28201591354153)	(60, 32.3475780164091)	(62, 32.33467570585154)	(64, 32.13773289805679)	(66, 31.934707662601767)	(68, 31.953174802032905)	(70, 31.796483912285087)	(72, 31.587091666124604)	(74, 31.54558314275541)	(76, 29.51689984645354)
SRR23426217_1	(1, 29.970403837131506)	(2, 30.343682520703908)	(3, 30.650179310787216)	(4, 30.984370629579267)	(5, 31.05882805408264)	(6, 34.197653781003645)	(7, 34.20871870732138)	(8, 34.22904622175613)	(9, 34.25472452970077)	(10, 34.26428407333841)	(12, 34.23960823501946)	(14, 34.2706536527114)	(16, 34.26767957557644)	(18, 34.26530663524501)	(20, 34.30005663132911)	(22, 34.212594140028)	(24, 34.07011478799333)	(26, 33.97698902392725)	(28, 34.014192003141666)	(30, 33.94463327251883)	(32, 33.89791065452167)	(34, 33.94218555720231)	(36, 33.9280067002862)	(38, 33.933656127558294)	(40, 33.85865793632975)	(42, 33.65479871730133)	(44, 33.74424717440063)	(46, 33.73401330398026)	(48, 33.50967380391724)	(50, 33.420029971529566)	(52, 33.45938347745077)	(54, 33.290275653041085)	(56, 33.218714687000485)	(58, 33.20276864172079)	(60, 33.137891785492386)	(62, 33.071660681560004)	(64, 32.95384914957906)	(66, 32.775979365833535)	(68, 32.830008628026334)	(70, 32.77280543809937)	(72, 32.717603970794116)	(74, 32.74339891652725)	(76, 31.598240997725796)
SRR23426217_2	(1, 30.788922057986603)	(2, 30.718734359721008)	(3, 30.76135088003258)	(4, 30.75468788809336)	(5, 30.717139004646118)	(6, 34.17233331145403)	(7, 34.22243161911525)	(8, 34.33467362676952)	(9, 34.26582973381597)	(10, 34.14928415538577)	(12, 34.05625843316385)	(14, 33.9583301011644)	(16, 33.87700503248703)	(18, 33.84232100061983)	(20, 33.768838261520756)	(22, 33.77949640073126)	(24, 33.78316862635555)	(26, 33.658874699874474)	(28, 33.70509160774796)	(30, 33.70449336124933)	(32, 33.62608535611167)	(34, 33.530007145579624)	(36, 33.3564444289466)	(38, 33.29659577090585)	(40, 33.15864837035285)	(42, 33.11286878425943)	(44, 33.20765097274611)	(46, 33.1106685163375)	(48, 32.923766995925234)	(50, 32.84326869430569)	(52, 32.634592036258965)	(54, 32.52707432521636)	(56, 32.41569195018383)	(58, 32.31525073115391)	(60, 32.38977253486827)	(62, 32.37555629045961)	(64, 32.18758302633944)	(66, 31.988568098194285)	(68, 31.992637740743753)	(70, 31.845637951829247)	(72, 31.63936397628384)	(74, 31.603918722015322)	(76, 29.57805818500786)
