Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR23426208_1	2.1108655828347036	19.466725338358692
SRR23426208_2	0.6181851952826685	5.308502692042173
SRR23426209_1	2.0175022818346684	21.8677219614451
SRR23426209_2	0.5502205932478978	5.199470652508833
SRR23426210_1	1.5017796132882963	14.21547772075157
SRR23426210_2	0.514021154034823	3.856833206985095
SRR23426211_1	1.661889472252788	16.859953289492275
SRR23426211_2	0.5933597618583742	5.606159457847788
SRR23426212_1	1.8514285501897425	22.459518939342317
SRR23426212_2	0.5779926085335136	6.647467355182308
SRR23426213_1	1.729350350874887	16.741576534771433
SRR23426213_2	0.620477798696799	5.592296865330168
SRR23426214_1	1.6197385323246198	16.96102286301467
SRR23426214_2	0.60986323451188	5.303612740069521
SRR23426215_1	1.8117677137724477	21.646792748450242
SRR23426215_2	0.5346067238894785	5.277058970447643
SRR23426216_1	1.7482171835094182	19.736337018220166
SRR23426216_2	0.5559105116845947	5.479026015597719
SRR23426217_1	1.5786099535388147	19.397815227841807
SRR23426217_2	0.5036402924168096	4.841540431822743
SRR23426218_1	1.1073017537934409	13.819422632727377
SRR23426218_2	0.4539391165767067	3.8622789398323
SRR23426219_1	1.7191838925316518	17.216322994278567
SRR23426219_2	0.5335433122353395	5.0585317107724315
SRR23426220_1	1.9080733526131752	20.333972653905956
SRR23426220_2	0.6181075235849156	6.141807627042203
SRR23426221_1	1.775115996368999	23.414275266560946
SRR23426221_2	0.4326395918528775	4.104461368165802
SRR23426222_1	1.8643347183115697	19.195002812959807
SRR23426222_2	0.6006755555486732	5.829461178589993
